# Parsed DOID file.
# Columns are source id, dest id.
DOID:0050647	DOID:0050735
DOID:0050648	DOID:2256
DOID:0050649	DOID:896
DOID:0050650	DOID:0060224
DOID:0050651	DOID:1681
DOID:0050655	DOID:1459
DOID:0050656	DOID:0050737
DOID:0050657	DOID:0050736
DOID:0050658	DOID:0050736
DOID:0050659	DOID:679
DOID:0050660	DOID:0050736
DOID:0050661	DOID:4448
DOID:0050662	DOID:4448
DOID:0050663	DOID:0050557
DOID:0050664	DOID:8466
DOID:0050665	DOID:0050696
DOID:0050666	DOID:0050696
DOID:0050667	DOID:0050696
DOID:0050668	DOID:0050696
DOID:0050669	DOID:1969
DOID:0050670	DOID:1969
DOID:0050671	DOID:1612
DOID:0050672	DOID:1969
DOID:0050673	DOID:1969
DOID:0050674	DOID:1701
DOID:0050675	DOID:0050736
DOID:0050676	DOID:0050736
DOID:0050677	DOID:0050737
DOID:0050678	DOID:0050736
DOID:0050679	DOID:13911
DOID:0050680	DOID:2256
DOID:0050682	DOID:0050737
DOID:0050683	DOID:8501
DOID:0050684	DOID:0050737
DOID:0050685	DOID:305
DOID:0050686	DOID:162
DOID:0050687	DOID:162
DOID:0050688	DOID:5672
DOID:0050689	DOID:0050739
DOID:0050690	DOID:2256
DOID:0050691	DOID:0050736
DOID:0050692	DOID:440
DOID:0050693	DOID:0050736
DOID:0050694	DOID:0050736
DOID:0050695	DOID:5158
DOID:0050696	DOID:0060038
DOID:0050697	DOID:780
DOID:0050698	DOID:65
DOID:0050700	DOID:114
DOID:0050701	DOID:1826
DOID:0050702	DOID:0050701
DOID:0050703	DOID:0050701
DOID:0050704	DOID:0050701
DOID:0050705	DOID:0050701
DOID:0050706	DOID:0050701
DOID:0050708	DOID:0050704
DOID:0050709	DOID:0050702
DOID:0050710	DOID:9252
DOID:0050711	DOID:2351
DOID:0050712	DOID:0050798
DOID:0050713	DOID:700
DOID:0050715	DOID:14749
DOID:0050716	DOID:14749
DOID:0050717	DOID:14749
DOID:0050718	DOID:655
DOID:0050719	DOID:0050718
DOID:0050720	DOID:9252
DOID:0050721	DOID:9252
DOID:0050722	DOID:0050721
DOID:0050723	DOID:0050721
DOID:0050724	DOID:0050721
DOID:0050725	DOID:9275
DOID:0050726	DOID:9275
DOID:0050727	DOID:9275
DOID:0050728	DOID:2978
DOID:0050729	DOID:9455
DOID:0050730	DOID:700
DOID:0050731	DOID:0050718
DOID:0050732	DOID:14749
DOID:0050733	DOID:14749
DOID:0050734	DOID:0050731
DOID:0050735	DOID:0050177
DOID:0050736	DOID:0050739
DOID:0050737	DOID:0050739
DOID:0050738	DOID:0050177
DOID:0050739	DOID:0050177
DOID:0050740	DOID:225
DOID:0050741	DOID:9973
DOID:0050742	DOID:9973
DOID:0050743	DOID:0060060
DOID:0050744	DOID:0060060
DOID:0050745	DOID:707
DOID:0050746	DOID:707
DOID:0050747	DOID:707
DOID:0050748	DOID:707
DOID:0050749	DOID:0050743
DOID:0050750	DOID:0050748
DOID:0050751	DOID:1040
DOID:0050752	DOID:332
DOID:0050753	DOID:2786
DOID:0050754	DOID:0050950
DOID:0050755	DOID:0050950
DOID:0050756	DOID:14503
DOID:0050757	DOID:700
DOID:0050758	DOID:3650
DOID:0050759	DOID:450
DOID:0050760	DOID:423
DOID:0050761	DOID:9120
DOID:0050762	DOID:9252
DOID:0050763	DOID:225
DOID:0050764	DOID:225
DOID:0050765	DOID:1289
DOID:0050766	DOID:0050765
DOID:0050767	DOID:2256
DOID:0050768	DOID:700
DOID:0050769	DOID:225
DOID:0050770	DOID:0050736
DOID:0050771	DOID:0060084
DOID:0050772	DOID:0050952
DOID:0050773	DOID:169
DOID:0050774	DOID:0050737
DOID:0050775	DOID:2256
DOID:0050776	DOID:0050889
DOID:0050777	DOID:0060340
DOID:0050778	DOID:0060340
DOID:0050779	DOID:0050737
DOID:0050780	DOID:0050177
DOID:0050781	DOID:0050735
DOID:0050782	DOID:225
DOID:0050783	DOID:2377
DOID:0050784	DOID:2377
DOID:0050785	DOID:2377
DOID:0050786	DOID:0050736
DOID:0050787	DOID:0050736
DOID:0050788	DOID:0050736
DOID:0050789	DOID:0050736
DOID:0050790	DOID:0050737
DOID:0050792	DOID:0050736
DOID:0050793	DOID:0050736
DOID:0050794	DOID:1934
DOID:0050795	DOID:5679
DOID:0050798	DOID:9252
DOID:0050799	DOID:0050798
DOID:0050800	DOID:0050798
DOID:0050801	DOID:987
DOID:0050803	DOID:3068
DOID:0050804	DOID:3068
DOID:0050805	DOID:3068
DOID:0050806	DOID:3068
DOID:0050807	DOID:0050737
DOID:0050810	DOID:5113
DOID:0050811	DOID:1701
DOID:0050812	DOID:0080027
DOID:0050813	DOID:0080027
DOID:0050814	DOID:0050737
DOID:0050815	DOID:1492
DOID:0050816	DOID:0050737
DOID:0050817	DOID:10871
DOID:0050818	DOID:0050731
DOID:0050819	DOID:0050739
DOID:0050820	DOID:10273
DOID:0050821	DOID:0050820
DOID:0050822	DOID:0050820
DOID:0050823	DOID:0050820
DOID:0050824	DOID:10273
DOID:0050825	DOID:114
DOID:0050826	DOID:4079
DOID:0050827	DOID:4079
DOID:0050828	DOID:178
DOID:0050829	DOID:1287
DOID:0050830	DOID:0050828
DOID:0050831	DOID:1289
DOID:0050832	DOID:655
DOID:0050833	DOID:0050832
DOID:0050835	DOID:543
DOID:0050836	DOID:543
DOID:0050837	DOID:543
DOID:0050838	DOID:543
DOID:0050839	DOID:0050836
DOID:0050840	DOID:0050836
DOID:0050841	DOID:0050836
DOID:0050842	DOID:0050836
DOID:0050843	DOID:0050836
DOID:0050844	DOID:0050836
DOID:0050845	DOID:0050836
DOID:0050846	DOID:0050837
DOID:0050847	DOID:535
DOID:0050848	DOID:0050847
DOID:0050849	DOID:10022
DOID:0050850	DOID:936
DOID:0050851	DOID:2921
DOID:0050852	DOID:326
