GO:0003777
GO:0005524
GO:0007018
GO:0008152
GO:0016887
GO:0030286
GO:0097228
GO:0001570
GO:0001701
GO:0003774
GO:0005654
GO:0005813
GO:0016459
GO:0030018
GO:0031941
GO:0048739
GO:0001954
GO:0002027
GO:0002162
GO:0003779
GO:0005200
GO:0006355
GO:0007519
GO:0008065
GO:0008270
GO:0010881
GO:0014809
GO:0014904
GO:0016010
GO:0016203
GO:0021629
GO:0030055
GO:0033137
GO:0034613
GO:0035994
GO:0042383
GO:0043623
GO:0044306
GO:0045121
GO:0045202
GO:0045213
GO:0046716
GO:0048747
GO:0050998
GO:0051647
GO:0060314
GO:0060857
GO:0070373
GO:0086001
GO:1901385
GO:1902083
GO:2000651
GO:0005509
GO:0005886
GO:0007156
GO:0007283
GO:0016021
GO:0007155
GO:0007605
GO:0005578
GO:0007165
GO:0007507
GO:0030036
GO:0007269
GO:0008021
GO:0004890
GO:0005230
GO:0006821
GO:0007214
GO:0034220
GO:0007416
GO:0051965
GO:0090129
GO:0098793
GO:0003824
GO:0005815
GO:0004114
GO:0005929
GO:0007608
GO:0046872
GO:0005249
GO:0008076
GO:0015269
GO:0071805
GO:0005215
GO:0006810
GO:0006811
GO:0005003
GO:0018108
GO:0048013
GO:0003341
GO:0005219
GO:0005622
GO:0051209
GO:0004519
GO:0004601
GO:0005615
GO:0005737
GO:0006979
GO:0020037
GO:0042744
GO:0055114
GO:0090305
GO:0098869
GO:0005634
GO:0006974
GO:0007420
GO:0016798
GO:0019213
GO:0042278
GO:0051725
GO:0032420
GO:0048839
GO:0008328
GO:0030054
GO:0032281
GO:0032591
GO:0048172
GO:0005576
GO:0005887
GO:0007166
GO:0000287
GO:0004674
GO:0006468
GO:0001642
GO:0004930
GO:0007196
GO:0007601
GO:0008066
GO:0030818
GO:0042734
GO:0051966
GO:0000096
GO:0005245
GO:0005262
GO:0005515
GO:0005891
GO:0006006
GO:0007204
GO:0007274
GO:0007628
GO:0008219
GO:0008331
GO:0014051
GO:0014056
GO:0016049
GO:0017158
GO:0019226
GO:0019905
GO:0021522
GO:0021590
GO:0021679
GO:0021702
GO:0021750
GO:0030425
GO:0030644
GO:0032353
GO:0034765
GO:0035249
GO:0042133
GO:0042445
GO:0042995
GO:0043025
GO:0043113
GO:0043524
GO:0048266
GO:0048791
GO:0048813
GO:0050770
GO:0050796
GO:0050883
GO:0050885
GO:0051899
GO:0060024
GO:0070588
GO:0086010
GO:0005575
GO:0007268
GO:0019904
GO:0032403
GO:0045211
GO:0097481
GO:0004725
GO:0006470
GO:0007169
GO:0008013
GO:0009986
GO:0035335
GO:0045294
GO:0045295
GO:0045296
GO:0070097
GO:0001764
GO:0005768
GO:0007158
GO:0007626
GO:0009897
GO:0010923
GO:0005856
GO:0030426
GO:0048786
GO:0000122
GO:0000978
GO:0001078
GO:0006351
GO:0007275
GO:0044323
GO:0045665
GO:0048387
GO:0000150
GO:0000707
GO:0000724
GO:0000731
GO:0000732
GO:0001832
GO:0003677
GO:0003690
