#Mambo_id	drugbank	PubChemSubstance
0	DB00777	4940	46506205
1	DB04574	3001028	46508976
2	DB00898	702	46506969
3	DB01162	5401	46509129
4	DB00957	6540478	46507381
5	DB04573	5756	46505881
6	DB01166	2754	46506317
7	DB02338	5702548	46508520
8	DB00890	667476	46504661
9	DB00675	2733526	46505515
10	DB05266	3671	99443231
11	DB00897	5556	46509147
12	DB01647	449190	46506137
13	DB01791	154575	46508612
14	DB04469	656965	46507765
15	DB01496	3003157	46507405
16	DB00387	4919	46505553
17	DB00818	4943	46504991
18	DB09063	57379345	310264998
19	DB02660	9578243	46506759
20	DB00383	4642	46507487
21	DB00381	2162	46507214
22	DB00463	4099	46508167
23	DB00462	23724781	46506260
24	DB02676	125132	46504824
25	DB07086	6852154	99443557
26	DB00237	2479	46505051
27	DB03606	448055	46507984
28	DB00783	5757	46508115
29	DB00786	119031	46505547
30	DB06702	6918558	99443256
31	DB04471	448915	46505282
32	DB01062	4634	46508005
33	DB08846	5281855	175427119
34	DB00255	3054	46507453
35	DB00544	3385	46508557
36	DB00546	37632	46509054
37	DB00540	4543	46507783
38	DB00543	2170	46509117
39	DB03147	643975	46508543
40	DB00767	2342	46506155
41	DB07087	46937048	99443558
42	DB00945	2244	46505803
43	DB00947	17756771	46508664
44	DB00603	6279	46508895
45	DB00602	46936176	46506810
46	DB01174	4763	46505776
47	DB06151	12035	99443235
48	DB00986	3494	46509133
49	DB01043	4054	46506702
123	DB06973	6623	99443444
50	DB01437	3487	46506283
51	DB03880	5362422	46505727
52	DB01959	656969	46507758
53	DB05219	57968923	175426957
54	DB06709	1993	99443261
55	DB01954	448055	46508075
56	DB02999	40539	46509075
57	DB07712	11149479	99444183
58	DB07991	16750040	99444462
59	DB01483	2294	46508979
60	DB01520	62751	46505124
61	DB06712	4494	99443264
62	DB08737	16750074	99445208
63	DB01088	5311181	46507818
64	DB01337	441289	46506118
357	DB00475	None	46505044
66	DB08386	11610553	99444857
67	DB00477	2726	46508395
68	DB01656	449193	175426853
69	DB03861	46936809	46508888
70	DB01085	5910	46507475
71	DB00306	8275	46507821
72	DB01990	46936278	46507419
73	DB00304	40973	46505739
74	DB03766	1032	46508742
75	DB00269	11289	46508811
76	DB06716	3038498	99443268
77	DB08047	46870043	99444518
78	DB06909	9821178	99443380
79	DB01244	2351	46506353
80	DB01559	2811	46508776
81	DB01069	4927	46507798
82	DB00572	174174	46507540
83	DB00261	2182	46508863
84	DB00308	60753	46507904
85	DB00142	33032	46505816
86	DB00171	5957	46507614
87	DB00599	3000715	46504621
88	DB01108	656583	46507062
89	DB08595	15942662	99445066
90	DB00949	3331	46506375
91	DB08384	44141871	99444855
92	DB00975	3108	46506292
93	DB00592	4837	46507642
94	DB00977	5991	46508618
95	DB00590	3157	46506825
96	DB01068	2802	46507677
97	DB00202	5314	46506023
98	DB00201	2519	46506408
99	DB00200	5460373	46505751
100	DB07708	11368987	99444179
101	DB00286	23667301	46505680
102	DB04843	4057	46508905
103	DB00280	3114	46508226
104	DB02715	46936438	46505605
105	DB02303	46936340	46505684
106	DB07485	232446	99443956
107	DB00289	54841	46506160
108	DB04149	448055	46507909
109	DB00683	4192	46507611
110	DB01373	5460341	46506005
111	DB08299	9999276	99444770
112	DB02659	221493	46507063
113	DB01708	5881	46508824
114	DB07707	23728517	99444178
115	DB01036	443879	46508059
65	DB08387	11581936	99444858
116	DB00568	2761	46506769
117	DB01942	284	46508355
118	DB01406	28417	46506475
119	DB00163	14985	46506524
120	DB00371	4064	46508142
121	DB00376	5572	46507717
122	DB06871	9549180	99443342
180	DB01065	896	46509101
124	DB00273	5284627	46508334
125	DB00270	3784	46505034
126	DB04271	215436	46506928
127	DB00277	2153	46505949
128	DB08811	5502	175427099
129	DB01409	3086655	46504448
130	DB01427	3698	46504647
131	DB06637	1727	175427081
132	DB01054	4507	46508817
133	DB01110	4189	46506017
134	DB00747	3000322	46506966
135	DB06603	6918837	310264874
136	DB01113	4680	46508003
137	DB01115	4485	46505103
138	DB00586	3033	46504644
139	DB01159	3562	46506589
140	DB00294	6917715	46505321
141	DB00342	5405	46507007
142	DB07638	11197931	99444109
143	DB02547	46936420	46504876
144	DB00292	667484	46507012
145	DB04855	208898	175426865
