DOID:12721	OMIM:614135
DOID:12842	OMIM:139393
DOID:12849	OMIM:209850
DOID:12849	OMIM:300425
DOID:12849	OMIM:300495
DOID:12849	OMIM:300496
DOID:12849	OMIM:300830
DOID:12849	OMIM:300847
DOID:12849	OMIM:300872
DOID:12849	OMIM:607373
DOID:12849	OMIM:608049
DOID:12849	OMIM:608636
DOID:12849	OMIM:609378
DOID:12849	OMIM:610676
DOID:12849	OMIM:610836
DOID:12849	OMIM:610908
DOID:12849	OMIM:611015
DOID:12849	OMIM:611016
DOID:12849	OMIM:611913
DOID:12849	OMIM:612100
DOID:12849	OMIM:613410
DOID:12849	OMIM:613436
DOID:12849	OMIM:615032
DOID:12849	OMIM:615091
DOID:11383	OMIM:219050
DOID:13714	OMIM:206780
DOID:1657	OMIM:614429
DOID:1657	OMIM:614431
DOID:1657	OMIM:614432
DOID:12930	OMIM:115200
DOID:12930	OMIM:300069
DOID:12930	OMIM:302045
DOID:12930	OMIM:600884
DOID:12930	OMIM:601154
DOID:12930	OMIM:601493
DOID:12930	OMIM:601494
DOID:12930	OMIM:604145
DOID:12930	OMIM:604288
DOID:12930	OMIM:604765
DOID:12930	OMIM:605362
DOID:12930	OMIM:605582
DOID:12930	OMIM:606685
DOID:12930	OMIM:607482
DOID:12930	OMIM:607487
DOID:12930	OMIM:608569
DOID:12930	OMIM:609909
DOID:12930	OMIM:609915
DOID:12930	OMIM:611407
DOID:12930	OMIM:611615
DOID:12930	OMIM:611878
DOID:12930	OMIM:611879
DOID:12930	OMIM:611880
DOID:12930	OMIM:612158
DOID:12930	OMIM:612877
DOID:12930	OMIM:613122
DOID:12930	OMIM:613172
DOID:12930	OMIM:613252
DOID:12930	OMIM:613286
DOID:12930	OMIM:613424
DOID:12930	OMIM:613426
DOID:12930	OMIM:613642
DOID:12930	OMIM:613694
DOID:12930	OMIM:613697
DOID:12930	OMIM:613740
DOID:12930	OMIM:613881
DOID:12930	OMIM:614672
DOID:12930	OMIM:615184
DOID:12930	OMIM:615235
DOID:12930	OMIM:615916
DOID:8354	OMIM:613779
DOID:11156	OMIM:206600
DOID:7693	OMIM:100070
DOID:7693	OMIM:609782
DOID:7693	OMIM:611891
DOID:7693	OMIM:614375
DOID:6612	OMIM:116920
DOID:6612	OMIM:266265
DOID:6612	OMIM:612840
DOID:0060416	OMIM:612345
DOID:1474	OMIM:170650
DOID:1474	OMIM:608526
DOID:12712	OMIM:256100
DOID:12712	OMIM:602088
DOID:12712	OMIM:604387
DOID:12712	OMIM:606966
DOID:12712	OMIM:611498
DOID:12712	OMIM:613159
DOID:12712	OMIM:613550
DOID:12712	OMIM:613820
DOID:12712	OMIM:613824
DOID:12712	OMIM:614377
DOID:12712	OMIM:614844
DOID:12712	OMIM:614845
DOID:12712	OMIM:615382
DOID:12712	OMIM:615862
DOID:12712	OMIM:616217
DOID:12716	OMIM:267450
DOID:12387	OMIM:125800
DOID:12387	OMIM:304800
DOID:12388	OMIM:125700
DOID:12388	OMIM:304900
DOID:0050663	OMIM:158810
DOID:0050662	OMIM:611809
DOID:0050661	OMIM:153700
DOID:0050661	OMIM:153840
DOID:0050661	OMIM:608161
DOID:0050661	OMIM:616151
DOID:0050661	OMIM:616152
DOID:0050660	OMIM:123790
DOID:0050664	OMIM:210370
DOID:14761	OMIM:175700
DOID:1520	OMIM:114500
DOID:0050801	OMIM:109200
DOID:0050801	OMIM:300710
DOID:0050801	OMIM:612421
DOID:0050800	OMIM:300352
DOID:0050807	OMIM:612713
DOID:0050809	OMIM:601492
DOID:12098	OMIM:190400
DOID:0050489	OMIM:138800
DOID:0050489	OMIM:300273
DOID:0050489	OMIM:606082
DOID:9744	OMIM:125852
DOID:9744	OMIM:222100
DOID:9744	OMIM:300136
DOID:9744	OMIM:600318
DOID:9744	OMIM:600319
DOID:9744	OMIM:600320
DOID:9744	OMIM:600321
DOID:9744	OMIM:600883
DOID:9744	OMIM:601208
DOID:9744	OMIM:601318
DOID:9744	OMIM:601388
DOID:9744	OMIM:601666
DOID:9744	OMIM:601941
DOID:9744	OMIM:601942
DOID:9744	OMIM:603266
DOID:9744	OMIM:605598
DOID:9744	OMIM:610155
DOID:9744	OMIM:612520
DOID:9744	OMIM:612521
DOID:9744	OMIM:612522
DOID:9744	OMIM:612622
DOID:9744	OMIM:613006
DOID:0050717	OMIM:277380
DOID:0050716	OMIM:277410
DOID:0050715	OMIM:277400
DOID:0050713	OMIM:604377
DOID:0050713	OMIM:615119
DOID:0050712	OMIM:612718
DOID:0050711	OMIM:604290
DOID:0050710	OMIM:210200
DOID:0050710	OMIM:210210
DOID:4603	OMIM:113800
DOID:2508	OMIM:207600
DOID:3052	OMIM:124100
DOID:12169	OMIM:115430
DOID:13378	OMIM:611775
DOID:13372	OMIM:613490
DOID:1837	OMIM:612227
DOID:13375	OMIM:187360
DOID:12361	OMIM:275000
DOID:12361	OMIM:300351
DOID:12361	OMIM:603388
DOID:12365	OMIM:609148
DOID:2871	OMIM:608089
DOID:13910	OMIM:303900
DOID:2893	OMIM:603956
DOID:10003	OMIM:304400
DOID:2256	OMIM:215050
DOID:3302	OMIM:215400
DOID:8616	OMIM:171000
DOID:83	OMIM:115650
DOID:83	OMIM:115660
DOID:83	OMIM:115665
DOID:83	OMIM:115700
DOID:83	OMIM:115800
DOID:83	OMIM:115900
DOID:83	OMIM:116100
DOID:83	OMIM:116200
DOID:83	OMIM:116300
DOID:83	OMIM:116400
DOID:83	OMIM:116700
DOID:83	OMIM:116800
DOID:83	OMIM:212500
DOID:83	OMIM:302200
DOID:83	OMIM:600881
DOID:83	OMIM:601202
DOID:83	OMIM:601371
DOID:83	OMIM:601547
DOID:83	OMIM:601885
DOID:83	OMIM:604219
DOID:83	OMIM:604307
DOID:83	OMIM:605728
DOID:83	OMIM:605749
DOID:83	OMIM:607304
DOID:83	OMIM:609026
DOID:83	OMIM:609376
DOID:83	OMIM:609741
DOID:83	OMIM:610019
DOID:83	OMIM:610202
DOID:83	OMIM:610425
DOID:83	OMIM:611391
DOID:83	OMIM:611544
DOID:83	OMIM:611597
DOID:83	OMIM:612968
DOID:83	OMIM:613887
DOID:83	OMIM:614422
DOID:83	OMIM:614691
DOID:83	OMIM:615188
DOID:83	OMIM:615274
DOID:83	OMIM:615277
DOID:83	OMIM:616279
DOID:83	OMIM:616509
DOID:14261	OMIM:300624
DOID:0060025	OMIM:137100
DOID:0060025	OMIM:269650
DOID:0060025	OMIM:609529
DOID:14264	OMIM:121200
DOID:14264	OMIM:121201
DOID:14264	OMIM:269720
DOID:14264	OMIM:615812
DOID:0060021	OMIM:606593
DOID:12894	OMIM:270150
DOID:6406	OMIM:217095
DOID:0060297	OMIM:614380
DOID:0060283	OMIM:270300
DOID:0060283	OMIM:613088
DOID:0060280	OMIM:610475
DOID:0060280	OMIM:610489
DOID:0060280	OMIM:614190
DOID:0060280	OMIM:615830
DOID:0060281	OMIM:132100
DOID:0060281	OMIM:609572
DOID:0060281	OMIM:609573
DOID:0060286	OMIM:300816
DOID:0060286	OMIM:609060
DOID:0060286	OMIM:610498
DOID:0060286	OMIM:610505
DOID:0060286	OMIM:610678
DOID:0060286	OMIM:611719
DOID:0060286	OMIM:613559
DOID:0060286	OMIM:614096
DOID:0060286	OMIM:614582
DOID:0060286	OMIM:614702
DOID:0060286	OMIM:614922
DOID:0060286	OMIM:614924
DOID:0060286	OMIM:614932
DOID:0060286	OMIM:614946
DOID:0060286	OMIM:614947
DOID:0060286	OMIM:615395
DOID:0060286	OMIM:615440
DOID:0060286	OMIM:615578
DOID:0060286	OMIM:615595
DOID:0060286	OMIM:615917
DOID:0060286	OMIM:615918
DOID:0060286	OMIM:616045
DOID:0060286	OMIM:616198
DOID:0060286	OMIM:616239
DOID:0060287	OMIM:121400
DOID:0060287	OMIM:217300
DOID:0060284	OMIM:300818
DOID:0060284	OMIM:615399
DOID:9970	OMIM:601665
DOID:0060232	OMIM:120502
DOID:0060232	OMIM:602588
DOID:0060232	OMIM:608389
DOID:9406	OMIM:221750
DOID:9406	OMIM:262600
DOID:9406	OMIM:262700
DOID:9406	OMIM:613038
DOID:9406	OMIM:613986
DOID:1270	OMIM:187300
DOID:1270	OMIM:600376
DOID:1270	OMIM:601101
DOID:1270	OMIM:615506
DOID:0060359	OMIM:101120
DOID:0060355	OMIM:616208
DOID:0060351	OMIM:615157
DOID:0060353	OMIM:616462
DOID:13382	OMIM:261100
DOID:13382	OMIM:613839
DOID:13381	OMIM:170900
DOID:12399	OMIM:606349
DOID:0050656	OMIM:251290
DOID:0050125	OMIM:614371
DOID:0050655	OMIM:241850
DOID:0050120	OMIM:267700
DOID:0050120	OMIM:603552
DOID:0050120	OMIM:603553
DOID:0050120	OMIM:608898
DOID:0050120	OMIM:613101
DOID:12554	OMIM:235400
DOID:12554	OMIM:612922
DOID:12554	OMIM:612923
DOID:12554	OMIM:612924
DOID:12554	OMIM:612925
DOID:12554	OMIM:612926
DOID:0050650	OMIM:607554
DOID:0050650	OMIM:608583
DOID:0050650	OMIM:608988
DOID:0050650	OMIM:611493
DOID:0050650	OMIM:611494
DOID:0050650	OMIM:612201
DOID:0050650	OMIM:612240
DOID:0050650	OMIM:613055
DOID:0050650	OMIM:613980
DOID:0050650	OMIM:614022
DOID:0050650	OMIM:614049
