DOID:3230	MESH:D006610
DOID:864	MESH:D010689
DOID:2846	MESH:D002012
DOID:2846	MESH:D020186
DOID:2841	MESH:D001249
DOID:7148	MESH:D001172
DOID:437	MESH:D009157
DOID:9828	MESH:D009357
DOID:2664	MESH:D013544
DOID:5151	MESH:D018318
DOID:2661	MESH:D009208
DOID:11364	MESH:D007906
DOID:2668	MESH:D008637
DOID:11360	MESH:D010217
DOID:11569	MESH:D009449
DOID:3229	MESH:D013271
DOID:5154	MESH:D001890
DOID:11561	MESH:D058437
DOID:14040	MESH:D016884
DOID:11563	MESH:D031300
DOID:3227	MESH:D014135
DOID:3225	MESH:D014133
DOID:8717	MESH:D003668
DOID:5520	MESH:C535575
DOID:12905	MESH:D015494
DOID:5158	MESH:D010997
DOID:8719	MESH:D002278
DOID:7725	MESH:D004830
DOID:8725	MESH:D015140
DOID:8725	MESH:D015161
DOID:620	MESH:D001796
DOID:627	MESH:D016511
DOID:9903	MESH:D017043
DOID:12918	MESH:D013919
DOID:10350	MESH:D047688
DOID:2065	MESH:D018252
DOID:13884	MESH:D012804
DOID:8544	MESH:D015673
DOID:8573	MESH:D017513
DOID:8577	MESH:D003093
DOID:10192	MESH:D008067
DOID:50	MESH:D013959
DOID:57	MESH:D001022
DOID:13364	MESH:D021081
DOID:12171	MESH:D020425
DOID:4990	MESH:D020329
DOID:14457	MESH:D002007
DOID:11175	MESH:D015841
DOID:14452	MESH:D020514
DOID:14453	MESH:D005203
DOID:10991	MESH:D020144
DOID:4539	MESH:D007759
DOID:139	MESH:D010212
DOID:10283	MESH:D011471
DOID:10289	MESH:C549759
DOID:8941	MESH:D063807
DOID:10970	MESH:D002547
DOID:10974	MESH:D009869
DOID:10976	MESH:D015433
DOID:1768	MESH:D003291
DOID:12731	MESH:D015868
DOID:12733	MESH:D006936
DOID:1762	MESH:D002613
DOID:263	MESH:D007680
DOID:9726	MESH:D020255
DOID:14332	MESH:D010301
DOID:3819	MESH:D011040
DOID:3818	MESH:D017454
DOID:14330	MESH:D010300
DOID:1509	MESH:D010554
DOID:1508	MESH:D002177
DOID:264	MESH:D006393
DOID:12450	MESH:D010198
DOID:12451	MESH:D013436
DOID:2815	MESH:D003390
DOID:303	MESH:D019966
DOID:612	MESH:D007153
DOID:1166	MESH:C538103
DOID:1168	MESH:D006949
DOID:1168	MESH:D006951
DOID:5138	MESH:D018231
DOID:14679	MESH:C536534
DOID:1219	MESH:D004011
DOID:3540	MESH:D016545
DOID:11829	MESH:D047728
DOID:4661	MESH:D018777
DOID:4660	MESH:D034721
DOID:1210	MESH:D009902
DOID:5241	MESH:D018325
DOID:1217	MESH:D005213
DOID:11823	MESH:D006530
DOID:1188	MESH:D020422
DOID:9427	MESH:D020343
DOID:1184	MESH:D009404
DOID:1187	MESH:D020429
DOID:5392	MESH:D000239
DOID:5394	MESH:D015175
DOID:4247	MESH:D023903
DOID:9540	MESH:D017445
DOID:4329	MESH:D031249
DOID:4866	MESH:D003528
DOID:9893	MESH:D010520
DOID:14705	MESH:D000168
DOID:0050865	MESH:D002294
DOID:9368	MESH:D007637
DOID:3721	MESH:D010954
DOID:824	MESH:D010518
DOID:2113	MESH:D003048
DOID:9362	MESH:D013224
DOID:820	MESH:D009205
DOID:823	MESH:D010485
DOID:5403	MESH:D000236
DOID:1984	MESH:D012004
DOID:5408	MESH:D010001
DOID:5409	MESH:D055752
DOID:2059	MESH:D014845
DOID:13088	MESH:D007969
DOID:13089	MESH:D020765
DOID:9369	MESH:D016727
DOID:9765	MESH:D041882
DOID:9767	MESH:D017682
DOID:9766	MESH:C536762
DOID:3928	MESH:D000274
DOID:9091	MESH:D020187
DOID:3927	MESH:C535549
DOID:9768	MESH:D006322
DOID:8543	MESH:D006689
DOID:3587	MESH:D021441
DOID:3856	MESH:D005834
DOID:2529	MESH:D013158
DOID:2527	MESH:D009401
DOID:11771	MESH:D009759
DOID:10609	MESH:D012279
DOID:10608	MESH:D002446
DOID:10607	MESH:D013182
DOID:10606	MESH:D001765
DOID:10605	MESH:D012778
DOID:10603	MESH:D018149
DOID:10602	MESH:D045602
DOID:10600	MESH:D013981
DOID:13550	MESH:D015812
DOID:4449	MESH:D008269
DOID:12143	MESH:D001750
DOID:4441	MESH:D004407
DOID:4440	MESH:D018239
DOID:4447	MESH:D008269
DOID:4914	MESH:C562730
DOID:4916	MESH:D010911
DOID:2297	MESH:C531728
DOID:2297	MESH:D007922
DOID:2297	MESH:D014895
DOID:11486	MESH:D006732
DOID:11482	MESH:D010490
DOID:2965	MESH:D002062
DOID:11481	MESH:D010494
DOID:2452	MESH:D019851
DOID:2981	MESH:D007681
DOID:2982	MESH:D010501
DOID:2451	MESH:D018455
DOID:950	MESH:D003607
DOID:2457	MESH:D003233
DOID:2986	MESH:D005922
DOID:2987	MESH:D010505
DOID:2988	MESH:D016736
DOID:13431	MESH:D014211
DOID:3454	MESH:D020520
DOID:3457	MESH:D018275
DOID:3456	MESH:D002579
DOID:10773	MESH:D010930
DOID:10772	MESH:D011697
DOID:2859	MESH:D006445
DOID:2856	MESH:D005067
DOID:2855	MESH:D006981
DOID:12858	MESH:D006816
DOID:0050773	MESH:D010235
DOID:11396	MESH:D011654
DOID:11394	MESH:D012128
DOID:2671	MESH:D002295
DOID:3479	MESH:D014604
