#Ensemble_Gene_Id	Uniprot_id	String_id
0	ENSDARG00000057378	F213A_DANRE	7955.ENSDARP00000074475
1	None	YLAT2_DANRE	7955.ENSDARP00000124849
2	None	PARI_DANRE	7955.ENSDARP00000119829
3	ENSDARG00000013056	ITPK1_DANRE	7955.ENSDARP00000009878
4	ENSDARG00000053569	SOX3_DANRE	7955.ENSDARP00000070099
5	ENSDARG00000035899	LIG1B_DANRE	7955.ENSDARP00000052112
6	None	KISHA_DANRE	7955.ENSDARP00000118932
7	None	L1CA1_DANRE	7955.ENSDARP00000121175
8	ENSDARG00000051902	ANM7_DANRE	7955.ENSDARP00000068099
9	ENSDARG00000035625	SNR27_DANRE	7955.ENSDARP00000051654
10	ENSDARG00000007149	L1CA2_DANRE	7955.ENSDARP00000094506
11	ENSDARG00000077155	TM116_DANRE	7955.ENSDARP00000100247
12	None	GP83A_DANRE	7955.ENSDARP00000010296
13	ENSDARG00000071579	URAD_DANRE	7955.ENSDARP00000096695
14	ENSDARG00000008593	NBAS_DANRE	7955.ENSDARP00000047833
15	ENSDARG00000078947	SDCG8_DANRE	7955.ENSDARP00000099835
16	ENSDARG00000020600	R1441_DANRE	7955.ENSDARP00000017882
17	ENSDARG00000053136	B2MG_DANRE	7955.ENSDARP00000069612
18	ENSDARG00000094577	C42S2_DANRE	7955.ENSDARP00000123282
19	ENSDARG00000078415	LRRC3_DANRE	7955.ENSDARP00000120615
20	None	KITA_DANRE	7955.ENSDARP00000099069
21	ENSDARG00000017121	MAFB_DANRE	7955.ENSDARP00000018087
22	None	RDM1_DANRE	7955.ENSDARP00000055675
23	None	THOC6_DANRE	7955.ENSDARP00000055337
24	None	CLUA1_DANRE	7955.ENSDARP00000101015
25	ENSDARG00000024827	RN150_DANRE	7955.ENSDARP00000013248
26	ENSDARG00000026109	HRG1A_DANRE	7955.ENSDARP00000035010
27	ENSDARG00000012588	PTSS1_DANRE	7955.ENSDARP00000026303
28	None	CU059_DANRE	7955.ENSDARP00000051196
29	ENSDARG00000008573	XYLK_DANRE	7955.ENSDARP00000018976
30	None	DAAF1_DANRE	7955.ENSDARP00000115728
31	ENSDARG00000018494	SMN1_DANRE	7955.ENSDARP00000017636
32	ENSDARG00000030976	SPE39_DANRE	7955.ENSDARP00000041450
33	None	NSMA3_DANRE	7955.ENSDARP00000107263
34	None	SDHB_DANRE	7955.ENSDARP00000062263
35	ENSDARG00000023703	KCTD6_DANRE	7955.ENSDARP00000034172
36	ENSDARG00000002816	RGRF2_DANRE	7955.ENSDARP00000077785
37	ENSDARG00000060601	R7BPA_DANRE	7955.ENSDARP00000080008
38	None	PRTGB_DANRE	7955.ENSDARP00000059192
39	None	PRTGB_DANRE	7955.ENSDARP00000111253
40	ENSDARG00000006719	CYTSA_DANRE	7955.ENSDARP00000010292
41	ENSDARG00000039493	NAA20_DANRE	7955.ENSDARP00000057699
