# UNIPROT	ENSEMBL
O75494	ENSP00000344149
Q86SX3	ENSP00000376308
O75494	ENSP00000420195
Q9Y3D6	ENSP00000223136
Q86SX3	ENSP00000346568
P28068	ENSP00000393646
Q13619	ENSP00000364590
Q86SX3	ENSP00000391436
Q13619	ENSP00000389118
Q86SX3	ENSP00000333959
Q5VW38	ENSP00000361483
Q6P093	ENSP00000461239
Q5VW38	ENSP00000336988
O00221	ENSP00000275015
Q9BVG8	ENSP00000368976
Q9BVG8	ENSP00000401696
Q9BVG8	ENSP00000396399
O00626	ENSP00000219235
A6PVC2	ENSP00000266182
Q96FT7	ENSP00000326627
O43688	ENSP00000329697
Q9BVG8	ENSP00000442008
Q96FT7	ENSP00000350786
Q96MN9	ENSP00000462269
P09327	ENSP00000248444
P14373	ENSP00000392787
O43688	ENSP00000388565
Q96MN9	ENSP00000468133
P14373	ENSP00000416281
Q5VW38	ENSP00000483750
O43688	ENSP00000269812
A1L429	ENSP00000371117
O43379	ENSP00000384792
Q9BVG8	ENSP00000456239
P09327	ENSP00000409270
O43379	ENSP00000465525
Q6UW78	ENSP00000432692
Q96JA3	ENSP00000258679
O43379	ENSP00000270301
Q6UW78	ENSP00000367189
Q9NR90	ENSP00000371802
Q9Y2S7	ENSP00000475924
Q96JA3	ENSP00000379556
Q969G6	ENSP00000365926
Q9Y2L8	ENSP00000322872
Q6P9B9	ENSP00000327889
Q9Y2L8	ENSP00000392104
Q9H936	ENSP00000322020
Q96JA3	ENSP00000397947
Q9Y2L8	ENSP00000377725
Q6XYQ8	ENSP00000228567
Q05193	ENSP00000362014
O94941	ENSP00000217173
Q9NRD0	ENSP00000377280
Q9H936	ENSP00000437236
O94941	ENSP00000311726
Q5T4I8	ENSP00000410749
Q8IUI8	ENSP00000318804
Q8IWL2	ENSP00000397082
Q9NRD0	ENSP00000422905
Q5T4I8	ENSP00000368905
Q86WS3	ENSP00000278855
Q9BXB7	ENSP00000341765
Q5T4I8	ENSP00000259983
Q9NRD0	ENSP00000484517
Q9NWQ9	ENSP00000322238
Q9NWQ9	ENSP00000450861
E9PRG8	ENSP00000432316
Q15800	ENSP00000261507
Q8TED1	ENSP00000423822
Q15800	ENSP00000377361
O43763	ENSP00000233638
Q709F0	ENSP00000264990
Q93015	ENSP00000346927
Q99704	ENSP00000387016
Q93015	ENSP00000391893
Q93015	ENSP00000410610
Q05193	ENSP00000419225
Q93015	ENSP00000400559
Q8IXM6	ENSP00000394788
Q5T160	ENSP00000358549
P10144	ENSP00000216341
Q05193	ENSP00000345680
Q5VU13	ENSP00000357082
Q05193	ENSP00000377219
Q5VU13	ENSP00000480481
Q8IWL2	ENSP00000381633
Q8IWL2	ENSP00000411102
Q05193	ENSP00000420045
Q8IXM6	ENSP00000405789
Q8IXM6	ENSP00000481406
Q99704	ENSP00000233668
P16870	ENSP00000386104
Q99704	ENSP00000344330
P12081	ENSP00000425634
Q13065	ENSP00000371128
Q96IU2	ENSP00000255198
Q13068	ENSP00000371119
P12081	ENSP00000387893
Q13068	ENSP00000484668
Q9ULR3	ENSP00000228705
Q13068	ENSP00000482230
P12081	ENSP00000304668
Q96MM3	ENSP00000424662
Q96MM3	ENSP00000317686
Q96MM3	ENSP00000483363
Q9NYZ2	ENSP00000429200
P05305	ENSP00000368683
P12081	ENSP00000411511
Q9NYZ2	ENSP00000290075
P30711	ENSP00000479871
Q6P9F5	ENSP00000379826
Q6P9F5	ENSP00000308310
Q6P9F5	ENSP00000365914
P30711	ENSP00000481741
P38435	ENSP00000233838
P01566	ENSP00000369566
Q9BVI4	ENSP00000328854
Q17RY6	ENSP00000292430
Q9BPX6	ENSP00000354415
Q8TE68	ENSP00000201647
Q9BPX6	ENSP00000402470
Q17RY6	ENSP00000429695
P38435	ENSP00000408045
O43745	ENSP00000300113
Q9BPX6	ENSP00000381747
Q9BUH6	ENSP00000360682
Q008S8	ENSP00000387388
Q8TE68	ENSP00000245618
Q9NYT0	ENSP00000216446
Q008S8	ENSP00000356655
P20719	ENSP00000222726
Q008S8	ENSP00000442307
P61421	ENSP00000290949
O00422	ENSP00000475925
P23396	ENSP00000434643
P56975	ENSP00000361214
P20800	ENSP00000361668
Q8IWU5	ENSP00000353007
P56975	ENSP00000384796
Q5ST30	ENSP00000316092
P56975	ENSP00000361215
Q8IWU5	ENSP00000418290
Q8NCR3	ENSP00000433395
Q8N112	ENSP00000315081
Q8IWU5	ENSP00000418442
Q8IVF4	ENSP00000386770
Q9UBP6	ENSP00000314441
Q5ST30	ENSP00000441000
Q9UBP6	ENSP00000257848
Q8NCR3	ENSP00000431706
A6NK06	ENSP00000366682
Q8NCR3	ENSP00000436400
Q96KW9	ENSP00000480272
Q8NCR3	ENSP00000376799
Q9UJQ1	ENSP00000406360
P05129	ENSP00000263431
Q8NCR3	ENSP00000483537
Q14676	ENSP00000373060
Q3KNS1	ENSP00000417658
O95424	ENSP00000482265
Q9UJQ1	ENSP00000246070
Q8N5Z5	ENSP00000384391
Q149M9	ENSP00000428579
O95424	ENSP00000330509
Q8N5Z5	ENSP00000385096
Q8N0Z8	ENSP00000368318
A6NFU8	ENSP00000437560
Q149M9	ENSP00000400248
A6NFU8	ENSP00000368199
Q149M9	ENSP00000447224
Q149M9	ENSP00000369136
Q8TC90	ENSP00000351727
Q86UF1	ENSP00000483872
Q6ZPD8	ENSP00000328036
Q4UJ75	ENSP00000349891
Q8WXC7	ENSP00000386166
P0CV98	ENSP00000398163
P58418	ENSP00000295911
P55774	ENSP00000479955
P58418	ENSP00000322280
Q86YW9	ENSP00000403308
P58418	ENSP00000329158
Q86YW9	ENSP00000310760
P60891	ENSP00000361512
P16234	ENSP00000257290
A6NFC5	ENSP00000466793
P16234	ENSP00000425648
P12872	ENSP00000388825
P15586	ENSP00000258145
P12872	ENSP00000266003
P23396	ENSP00000278572
P12872	ENSP00000425467
Q9H400	ENSP00000309521
P15586	ENSP00000444819
P16234	ENSP00000424218
P20718	ENSP00000216338
A8MPS7	ENSP00000292778
P23396	ENSP00000436971
Q9NWT1	ENSP00000368887
Q9UGM1	ENSP00000312663
A6NFC5	ENSP00000446514
A6NFC5	ENSP00000447766
A8MPS7	ENSP00000402481
P20718	ENSP00000371988
P23396	ENSP00000433821
A8MPS7	ENSP00000381847
A6NFC5	ENSP00000402790
A6NFC5	ENSP00000364084
Q05066	ENSP00000372547
O94819	ENSP00000481889
Q9H5F2	ENSP00000260276
E5RJM6	ENSP00000429035
E5RJM6	ENSP00000428419
Q6UWY2	ENSP00000482358
E5RJM6	ENSP00000482314
Q8NGW1	ENSP00000322435
E5RJM6	ENSP00000428201
Q15465	ENSP00000297261
P11362	ENSP00000380280
E5RJM6	ENSP00000445688
O15264	ENSP00000211287
O75570	ENSP00000368793
P59923	ENSP00000379387
O75570	ENSP00000368790
Q15672	ENSP00000242261
Q14258	ENSP00000323889
Q14D33	ENSP00000482049
Q6QAJ8	ENSP00000339830
O15264	ENSP00000362871
Q8IWJ2	ENSP00000307939
Q03112	ENSP00000419770
P59923	ENSP00000413073
O43663	ENSP00000377793
P13804	ENSP00000452762
Q6QAJ8	ENSP00000396973
Q8NBX0	ENSP00000355467
P13804	ENSP00000399273
Q69YZ2	ENSP00000428459
O43663	ENSP00000354679
Q69YZ2	ENSP00000428544
Q14258	ENSP00000445961
Q8IYB5	ENSP00000359481
O43663	ENSP00000409549
Q8IWJ2	ENSP00000419969
Q8IYB5	ENSP00000313382
P28161	ENSP00000435910
Q9BQ90	ENSP00000313995
Q99645	ENSP00000261172
Q03112	ENSP00000419995
Q86YW9	ENSP00000417235
Q8IYB5	ENSP00000359484
P51812	ENSP00000368884
Q12798	ENSP00000319052
Q96LM6	ENSP00000307142
O15061	ENSP00000336775
P11362	ENSP00000432972
Q03112	ENSP00000264674
P11362	ENSP00000380302
P28161	ENSP00000241337
Q9BYE0	ENSP00000446205
Q9NQE7	ENSP00000230582
P11362	ENSP00000348537
Q9BYE0	ENSP00000314774
P49641	ENSP00000452948
Q9Y4P9	ENSP00000369080
P28161	ENSP00000416883
Q969K3	ENSP00000355137
Q969K3	ENSP00000376258
Q58WW2	ENSP00000356817
P11362	ENSP00000337247
Q8N7C3	ENSP00000422581
Q8TAZ6	ENSP00000368800
Q8NI77	ENSP00000263181
P11362	ENSP00000327229
Q15306	ENSP00000370343
Q9UK76	ENSP00000464266
Q8TAZ6	ENSP00000268595
Q58WW2	ENSP00000311949
O14639	ENSP00000376679
Q9ULT6	ENSP00000443824
Q15109	ENSP00000391743
B1AL88	ENSP00000365080
Q58WW2	ENSP00000356814
P49641	ENSP00000353655
Q9ULT6	ENSP00000384456
Q9ULT6	ENSP00000384553
Q7Z553	ENSP00000382178
Q9UK76	ENSP00000387059
Q58WW2	ENSP00000396238
Q8N9V2	ENSP00000327738
Q9UK76	ENSP00000462834
Q7Z553	ENSP00000349925
Q58HT5	ENSP00000363645
Q30201	ENSP00000380217
Q30201	ENSP00000312342
Q9NXK8	ENSP00000247977
Q8N5S9	ENSP00000323118
Q30201	ENSP00000315936
Q6HA08	ENSP00000343674
Q8N5S9	ENSP00000158166
Q9NXK8	ENSP00000467359
Q30201	ENSP00000259699
P48634	ENSP00000396812
Q9NXK8	ENSP00000468369
Q9UK76	ENSP00000348316
Q9UK76	ENSP00000462784
Q8WY54	ENSP00000312411
Q9UK76	ENSP00000462478
Q9H2S9	ENSP00000262032
P50897	ENSP00000394863
P05156	ENSP00000378130
P48634	ENSP00000404619
Q8TF05	ENSP00000383402
P50897	ENSP00000432053
Q8TF05	ENSP00000383401
O14639	ENSP00000358257
P48507	ENSP00000359258
O14639	ENSP00000358260
O14639	ENSP00000277895
P48507	ENSP00000484507
O15498	ENSP00000420805
P50897	ENSP00000392293
Q7L2H7	ENSP00000436049
P20061	ENSP00000257264
Q9Y3M2	ENSP00000380026
Q9Y3M2	ENSP00000216029
O15498	ENSP00000223369
Q7L2H7	ENSP00000436787
Q9H2S9	ENSP00000448419
P62955	ENSP00000375647
P62955	ENSP00000222212
Q30201	ENSP00000313776
Q8NG48	ENSP00000318423
Q9H2S9	ENSP00000412101
P41212	ENSP00000379658
Q30201	ENSP00000417404
Q15334	ENSP00000321537
P36537	ENSP00000265403
Q8NG48	ENSP00000454200
P36537	ENSP00000413420
Q8IUC0	ENSP00000347635
O75367	ENSP00000423563
P59942	ENSP00000389666
O00716	ENSP00000262904
O00716	ENSP00000443418
Q3SY46	ENSP00000375109
Q8NDA8	ENSP00000388174
O43583	ENSP00000280557
Q30201	ENSP00000337819
Q9H2W6	ENSP00000312311
Q8N587	ENSP00000303915
Q8WVK7	ENSP00000333433
O95670	ENSP00000395436
O95670	ENSP00000416031
Q30201	ENSP00000420802
Q9BY89	ENSP00000385152
Q30201	ENSP00000420559
Q9NQR9	ENSP00000364512
Q9BY89	ENSP00000385377
P04264	ENSP00000252244
Q9NQR9	ENSP00000396939
Q9BY89	ENSP00000351207
Q8WVK7	ENSP00000411231
Q9NQR9	ENSP00000282075
Q9Y236	ENSP00000297438
Q49A88	ENSP00000418002
O75367	ENSP00000302572
Q9Y236	ENSP00000396445
O75367	ENSP00000310169
Q3LIE5	ENSP00000369099
Q5W0U4	ENSP00000363298
P58753	ENSP00000376446
Q3LIE5	ENSP00000431622
P58753	ENSP00000376445
P58753	ENSP00000376447
P58753	ENSP00000436967
Q5TC63	ENSP00000364580
Q9H6E4	ENSP00000255784
Q5TC63	ENSP00000321850
Q5TC63	ENSP00000364579
Q96N21	ENSP00000300714
Q6Q4G3	ENSP00000350541
Q49A88	ENSP00000418403
P56703	ENSP00000480990
Q9HAT0	ENSP00000184183
Q9HAT0	ENSP00000385919
Q9HAT0	ENSP00000420590
Q96CG3	ENSP00000354911
Q9HAT0	ENSP00000420567
Q7RTT9	ENSP00000380081
Q96CG3	ENSP00000424231
Q9HAT0	ENSP00000417379
Q9HAT0	ENSP00000419205
O14828	ENSP00000461521
Q7RTT9	ENSP00000297195
Q9HAT0	ENSP00000483603
Q8WTR7	ENSP00000472808
O14828	ENSP00000458542
Q7RTT9	ENSP00000385845
Q2M218	ENSP00000386393
Q8WTR7	ENSP00000375697
O75439	ENSP00000249269
Q8WTR7	ENSP00000270617
Q8N149	ENSP00000484762
Q2M2E3	ENSP00000331086
Q2M218	ENSP00000393163
P35813	ENSP00000327255
Q8N149	ENSP00000483906
Q8NEZ4	ENSP00000262189
Q9BY78	ENSP00000312439
Q96RB7	ENSP00000432417
P11362	ENSP00000380297
Q49A88	ENSP00000395706
Q9NYX4	ENSP00000252939
Q6IEU7	ENSP00000436004
Q9NYX4	ENSP00000357546
Q9NYX4	ENSP00000357543
P35813	ENSP00000378514
P35813	ENSP00000314850
Q8NEZ4	ENSP00000347325
O75367	ENSP00000424971
Q9UHV2	ENSP00000350633
Q49A88	ENSP00000420180
Q8NDA8	ENSP00000435565
Q5T619	ENSP00000344129
Q8NDA8	ENSP00000321737
Q9UKF5	ENSP00000384229
Q9UKF5	ENSP00000423517
Q8NDA8	ENSP00000437866
P0CG35	ENSP00000472749
Q9UKF5	ENSP00000484862
Q9UKF5	ENSP00000352177
Q9UKF5	ENSP00000414544
Q9UKF5	ENSP00000478469
Q8N729	ENSP00000330070
P0C7P0	ENSP00000483781
Q8N5C1	ENSP00000357588
Q86VM9	ENSP00000301011
O75346	ENSP00000468720
Q15077	ENSP00000443427
O75346	ENSP00000347868
Q5XKL5	ENSP00000359408
Q5XKL5	ENSP00000343686
Q8WXI9	ENSP00000458280
Q92536	ENSP00000219343
Q92945	ENSP00000381216
Q7Z4T9	ENSP00000273390
Q5T215	ENSP00000348445
P11362	ENSP00000433163
Q5T215	ENSP00000357591
Q7Z4T9	ENSP00000419489
P11362	ENSP00000393312
P11474	ENSP00000385971
Q15109	ENSP00000413391
Q12794	ENSP00000378576
P11362	ENSP00000400162
P55854	ENSP00000330343
Q12794	ENSP00000266031
Q12794	ENSP00000346068
P55854	ENSP00000409666
P11474	ENSP00000000442
P43155	ENSP00000315013
P11474	ENSP00000384851
Q12794	ENSP00000378575
Q92536	ENSP00000455064
Q12794	ENSP00000393358
Q12794	ENSP00000390149
Q12794	ENSP00000477903
Q9H0A9	ENSP00000333869
Q92564	ENSP00000334625
Q9H0A9	ENSP00000291672
Q92564	ENSP00000370850
Q9BU79	ENSP00000257637
Q9BU79	ENSP00000398083
Q9P1U0	ENSP00000414720
O75170	ENSP00000352051
Q9Y3N9	ENSP00000373150
Q9P1U0	ENSP00000410530
Q86UZ6	ENSP00000245663
Q9P1U0	ENSP00000399302
Q9P1U0	ENSP00000396661
Q86UZ6	ENSP00000303102
Q86UZ6	ENSP00000378536
P60201	ENSP00000484450
P60201	ENSP00000477619
O75170	ENSP00000379090
O75170	ENSP00000379093
Q9H8W4	ENSP00000322373
Q9H8W4	ENSP00000427792
P31270	ENSP00000006015
O75170	ENSP00000216061
Q9Y679	ENSP00000403430
O95445	ENSP00000392021
Q92564	ENSP00000389900
Q9Y679	ENSP00000366748
O75170	ENSP00000478417
O95445	ENSP00000398944
Q8IUH3	ENSP00000286070
Q15077	ENSP00000445652
Q15077	ENSP00000309771
P0C671	ENSP00000418983
Q8IUH3	ENSP00000482083
Q15077	ENSP00000377217
Q15109	ENSP00000395812
Q15077	ENSP00000377216
Q15077	ENSP00000442551
Q8NBP0	ENSP00000355621
Q15077	ENSP00000377215
Q8NBP0	ENSP00000355622
O76000	ENSP00000373149
Q15077	ENSP00000442990
Q15077	ENSP00000480966
P60201	ENSP00000481006
Q6UB99	ENSP00000367581
Q6UB99	ENSP00000301030
Q8IVL6	ENSP00000478600
Q9BXJ0	ENSP00000431140
Q9P2L0	ENSP00000281405
Q9P2L0	ENSP00000314444
Q5T442	ENSP00000355675
P25106	ENSP00000272928
P42857	ENSP00000388823
Q9NXJ5	ENSP00000269919
P42857	ENSP00000426358
P35227	ENSP00000482063
P35227	ENSP00000478970
Q9NXJ5	ENSP00000252813
P42857	ENSP00000421841
Q8NEF3	ENSP00000368931
P42857	ENSP00000425423
Q6Y288	ENSP00000343002
P42857	ENSP00000408833
Q5JW98	ENSP00000357586
P42857	ENSP00000425345
P0C0L5	ENSP00000407942
Q8NEF3	ENSP00000423712
P42857	ENSP00000480081
P42857	ENSP00000381049
Q5JW98	ENSP00000385836
P22310	ENSP00000362508
Q8NEF3	ENSP00000378925
Q5JW98	ENSP00000357585
Q7Z6M4	ENSP00000241527
P22310	ENSP00000408608
P35227	ENSP00000482815
Q7Z6M4	ENSP00000375840
Q7Z6M4	ENSP00000480378
Q15109	ENSP00000448979
P48436	ENSP00000245479
Q14863	ENSP00000373895
Q15109	ENSP00000449042
Q01118	ENSP00000386796
P0CG31	ENSP00000461413
Q14863	ENSP00000448389
Q6NXR0	ENSP00000244314
Q14863	ENSP00000330190
Q13315	ENSP00000388058
Q01118	ENSP00000478562
Q01118	ENSP00000481734
Q9UHC6	ENSP00000354778
A6NK75	ENSP00000350418
Q9NZJ7	ENSP00000362718
Q9NZJ7	ENSP00000362730
P61978	ENSP00000365458
P61978	ENSP00000317788
O00559	ENSP00000379131
P61978	ENSP00000353552
P05014	ENSP00000412897
A6NJ78	ENSP00000385507
O00559	ENSP00000337675
Q9NR16	ENSP00000315945
A6NJ78	ENSP00000384369
O00559	ENSP00000432082
Q9NR16	ENSP00000393474
A6NJ78	ENSP00000307251
O00559	ENSP00000477645
O00559	ENSP00000477734
A6NJ78	ENSP00000392806
Q5K4L6	ENSP00000485061
P61978	ENSP00000365439
P01571	ENSP00000411940
P53990	ENSP00000457844
P53990	ENSP00000455860
Q8N4F4	ENSP00000321549
P53990	ENSP00000368076
P01570	ENSP00000369571
P33076	ENSP00000371257
Q8NHR9	ENSP00000322170
A0JNW5	ENSP00000279907
Q9BPX5	ENSP00000345361
Q5K4L6	ENSP00000357650
P01567	ENSP00000239347
Q9BPX5	ENSP00000259477
O76001	ENSP00000373147
P05015	ENSP00000369564
P53990	ENSP00000330408
Q08AD1	ENSP00000351684
Q9NYP8	ENSP00000461359
Q9UBS8	ENSP00000378028
Q9NYP8	ENSP00000460629
A0JNW5	ENSP00000349285
Q6P996	ENSP00000484595
Q08AD1	ENSP00000416800
Q9NYP8	ENSP00000461558
P53990	ENSP00000463711
Q9NYP8	ENSP00000479857
Q08AD1	ENSP00000236925
Q6P996	ENSP00000478686
Q9GZT4	ENSP00000339435
P53990	ENSP00000368075
Q9UBS8	ENSP00000378022
P35680	ENSP00000480291
P35680	ENSP00000482711
Q9UBS8	ENSP00000378027
Q9UBS8	ENSP00000348462
P41235	ENSP00000315180
Q17RA5	ENSP00000461835
Q9UBS8	ENSP00000324956
P41235	ENSP00000476609
Q17RA5	ENSP00000459537
P41235	ENSP00000396216
P80404	ENSP00000268251
P53990	ENSP00000475853
Q13315	ENSP00000278616
P53990	ENSP00000438399
Q86XH1	ENSP00000254653
O96004	ENSP00000231121
Q96DB5	ENSP00000385927
Q15365	ENSP00000305556
P80404	ENSP00000411916
Q86XH1	ENSP00000387347
Q8TB40	ENSP00000414558
P41235	ENSP00000410911
Q5T0D9	ENSP00000367595
Q96DB5	ENSP00000428661
Q5T0D9	ENSP00000339714
P15882	ENSP00000386741
P41235	ENSP00000312987
P80404	ENSP00000379845
P41235	ENSP00000412111
Q96DB5	ENSP00000409661
Q6P996	ENSP00000481784
P15882	ENSP00000295497
Q8TB40	ENSP00000388751
Q86XH1	ENSP00000311951
Q6P996	ENSP00000480418
Q9UGU0	ENSP00000483199
P78310	ENSP00000284878
Q5JTH9	ENSP00000446184
Q86W67	ENSP00000295150
Q96A35	ENSP00000354525
P15882	ENSP00000386470
P78310	ENSP00000383030
Q9NP74	ENSP00000263174
Q8N118	ENSP00000360968
Q96A35	ENSP00000357194
Q5JTH9	ENSP00000324315
Q6P988	ENSP00000387310
P78310	ENSP00000348620
O14980	ENSP00000384863
P78310	ENSP00000383029
Q9NP74	ENSP00000479820
P78310	ENSP00000383033
O60216	ENSP00000297338
Q5JTH9	ENSP00000360031
Q5JTH9	ENSP00000414863
Q9GZK4	ENSP00000395934
Q9GZK4	ENSP00000392619
Q9GZK4	ENSP00000413910
Q15582	ENSP00000416330
Q9NP84	ENSP00000326737
Q9GZK4	ENSP00000395850
Q8IUA0	ENSP00000361735
O14980	ENSP00000385942
P08620	ENSP00000168712
Q9NP84	ENSP00000343894
Q8IUA0	ENSP00000289953
O14980	ENSP00000385559
Q9NU02	ENSP00000367644
A2RRP1	ENSP00000281513
Q9NU02	ENSP00000367631
O00341	ENSP00000360549
P61960	ENSP00000368970
Q03923	ENSP00000300540
O00341	ENSP00000360546
P61960	ENSP00000239878
Q6NT89	ENSP00000429216
Q2TB90	ENSP00000346643
Q6UXD7	ENSP00000307545
Q03923	ENSP00000329793
Q03923	ENSP00000342340
O15539	ENSP00000319308
O15539	ENSP00000433001
O14561	ENSP00000007516
O15539	ENSP00000432313
O14561	ENSP00000458770
Q8NH19	ENSP00000311477
Q6UXD7	ENSP00000320234
Q6UXD7	ENSP00000384616
O15085	ENSP00000357177
O14977	ENSP00000337180
P16298	ENSP00000353881
P15924	ENSP00000369129
O15085	ENSP00000354644
Q15063	ENSP00000369071
O14977	ENSP00000321507
P15924	ENSP00000396591
Q15063	ENSP00000369067
O95221	ENSP00000278409
O15539	ENSP00000480891
Q9H9S5	ENSP00000326570
Q9Y536	ENSP00000358224
Q15063	ENSP00000369066
P16298	ENSP00000378305
P16298	ENSP00000378306
O60879	ENSP00000362140
Q15063	ENSP00000437959
Q15063	ENSP00000437953
O60879	ENSP00000321348
Q96LU7	ENSP00000448753
Q53FA7	ENSP00000337834
Q8N960	ENSP00000303058
Q53FA7	ENSP00000238721
Q7Z624	ENSP00000385124
Q53FA7	ENSP00000384414
Q9H9S5	ENSP00000375776
Q7Z7B7	ENSP00000371813
Q2M2D7	ENSP00000339973
Q8N960	ENSP00000422089
Q53FE4	ENSP00000322582
Q9NPH5	ENSP00000344747
Q6T4R5	ENSP00000369400
Q8N960	ENSP00000327504
Q53FE4	ENSP00000423411
Q7Z624	ENSP00000367755
Q8N960	ENSP00000307419
Q6T4R5	ENSP00000381170
Q2M2D7	ENSP00000385821
Q5TZF3	ENSP00000331268
O95825	ENSP00000370966
O75934	ENSP00000358554
O95490	ENSP00000359760
Q6BEB4	ENSP00000364430
O95490	ENSP00000359758
Q9BVM2	ENSP00000359170
O95490	ENSP00000359763
O95490	ENSP00000359765
Q86Z02	ENSP00000407442
P43362	ENSP00000471017
Q86Z02	ENSP00000358572
O95490	ENSP00000353006
Q8TF45	ENSP00000471652
Q9BZF3	ENSP00000376293
O95490	ENSP00000359750
O96017	ENSP00000385747
Q9BZF3	ENSP00000349591
O95490	ENSP00000359748
Q8TF45	ENSP00000379451
Q7Z3V4	ENSP00000391529
O96017	ENSP00000329178
Q9BZF3	ENSP00000387248
O95490	ENSP00000322270
Q8IZR5	ENSP00000333833
O96017	ENSP00000386087
Q99549	ENSP00000355388
Q86Z02	ENSP00000358571
Q92903	ENSP00000295887
Q6ZMD2	ENSP00000347721
Q9BZF3	ENSP00000190611
Q7Z3V4	ENSP00000440585
Q9BZF3	ENSP00000386885
O96017	ENSP00000372023
Q8IZR5	ENSP00000377666
Q8IZR5	ENSP00000456380
P49356	ENSP00000246166
Q9BZF3	ENSP00000318723
P19525	ENSP00000233057
O96017	ENSP00000404567
Q9BZF3	ENSP00000352713
Q86Z02	ENSP00000340956
O95490	ENSP00000359752
Q7Z3V4	ENSP00000340596
P40222	ENSP00000362712
P19525	ENSP00000385014
O96017	ENSP00000412901
Q8TF45	ENSP00000483763
Q86Z02	ENSP00000358566
O96017	ENSP00000404400
P40222	ENSP00000362711
Q9UBD0	ENSP00000469223
Q7Z3V4	ENSP00000342614
A1L167	ENSP00000382713
Q8N3X6	ENSP00000317566
O96017	ENSP00000384919
O96017	ENSP00000384835
Q7Z3V4	ENSP00000443565
P19525	ENSP00000378559
O14543	ENSP00000330341
Q7Z3V4	ENSP00000395802
Q8N3X6	ENSP00000371661
O95825	ENSP00000416315
Q86Z23	ENSP00000335285
O96017	ENSP00000329012
Q8N319	ENSP00000426159
Q8N319	ENSP00000423262
P34931	ENSP00000364805
P0C7P1	ENSP00000372127
Q9H213	ENSP00000343706
P46695	ENSP00000397956
P0C7P1	ENSP00000399181
O94903	ENSP00000333551
P55085	ENSP00000296677
E5RQL4	ENSP00000482786
P43631	ENSP00000478014
P55010	ENSP00000216554
Q9NPH5	ENSP00000436892
P43631	ENSP00000484771
Q969V1	ENSP00000358214
Q96NL8	ENSP00000286688
Q969V1	ENSP00000281806
Q96AQ2	ENSP00000429775
Q96AQ2	ENSP00000429275
Q9BT04	ENSP00000435177
Q9NPH5	ENSP00000263317
Q02846	ENSP00000254854
Q9NPH5	ENSP00000434924
P61647	ENSP00000366827
Q9NPH5	ENSP00000433797
Q9UPP1	ENSP00000338868
P55010	ENSP00000376477
P41134	ENSP00000365280
Q8NEV8	ENSP00000265843
Q9UPP1	ENSP00000350676
Q96HJ5	ENSP00000378473
Q8NEV8	ENSP00000432546
P55010	ENSP00000453743
Q16623	ENSP00000222812
P41134	ENSP00000365273
Q16623	ENSP00000378585
P22532	ENSP00000353542
Q9NPH5	ENSP00000435039
Q9NPH5	ENSP00000365146
Q9BT04	ENSP00000313309
P22532	ENSP00000357747
P22532	ENSP00000357746
Q9NPH5	ENSP00000435474
P22532	ENSP00000357745
Q9UPP1	ENSP00000319473
Q9NPH5	ENSP00000376961
A6NCF5	ENSP00000341549
Q9NPH5	ENSP00000412446
Q8N1N0	ENSP00000272367
Q8N1N0	ENSP00000390581
Q9H0I3	ENSP00000402588
Q9UPQ0	ENSP00000425222
Q9H0I3	ENSP00000219299
P43115	ENSP00000359969
Q13643	ENSP00000362107
Q9UPP1	ENSP00000340051
Q96HJ5	ENSP00000278865
Q8TDI8	ENSP00000297784
Q96HJ5	ENSP00000434117
Q5JRM2	ENSP00000359571
Q96HJ5	ENSP00000350872
P59190	ENSP00000267512
Q9UJW3	ENSP00000270172
Q8TDI8	ENSP00000341433
O14598	ENSP00000250825
P59190	ENSP00000434103
P47992	ENSP00000356792
P31994	ENSP00000236937
Q49A26	ENSP00000390276
Q13103	ENSP00000362466
Q49A26	ENSP00000322716
Q08AF8	ENSP00000481013
P02724	ENSP00000324483
Q49A26	ENSP00000468328
Q13103	ENSP00000168148
Q9H9E1	ENSP00000296785
Q4V9L6	ENSP00000376553
P43115	ENSP00000421583
Q5FWF5	ENSP00000269214
P43115	ENSP00000418073
Q5FWF5	ENSP00000372763
P43115	ENSP00000349003
P43115	ENSP00000302313
P43115	ENSP00000359962
P43115	ENSP00000280208
P31994	ENSP00000356938
P07199	ENSP00000369075
Q86VD7	ENSP00000326693
P31994	ENSP00000351497
Q05BQ5	ENSP00000468304
Q92506	ENSP00000413950
P31994	ENSP00000404329
Q8NA82	ENSP00000416177
Q6UWJ1	ENSP00000389399
Q05BQ5	ENSP00000386072
P31994	ENSP00000356937
Q6UWJ1	ENSP00000364540
Q8NA82	ENSP00000311496
P31994	ENSP00000386038
Q96KJ9	ENSP00000365243
Q6UWJ1	ENSP00000484053
Q05BQ5	ENSP00000403946
Q9UH90	ENSP00000337510
Q05BQ5	ENSP00000365561
P24522	ENSP00000360025
P24522	ENSP00000360024
Q6EMB2	ENSP00000286650
Q9Y5J6	ENSP00000254616
P10523	ENSP00000386444
P20036	ENSP00000393566
Q96S99	ENSP00000389787
P14373	ENSP00000366399
Q96S99	ENSP00000466292
Q6EMB2	ENSP00000298832
P14373	ENSP00000366404
Q9Y5J6	ENSP00000436948
Q96DB9	ENSP00000376053
Q14511	ENSP00000368759
Q96DB9	ENSP00000443390
Q14511	ENSP00000422871
Q96DB9	ENSP00000465667
P14867	ENSP00000023897
P14867	ENSP00000393097
