# UNIPROT	ENSEMBL
Q6ZMH5	ENSP00000405360
P31785	ENSP00000388967
O43868	ENSP00000315006
O15533	ENSP00000402087
Q96A83	ENSP00000318234
Q9P104	ENSP00000262593
Q6YBV0	ENSP00000436570
O75477	ENSP00000384900
O15131	ENSP00000357552
Q6ZMH5	ENSP00000266980
Q96A83	ENSP00000482102
P24071	ENSP00000480970
O15131	ENSP00000348704
Q9P104	ENSP00000379270
O15533	ENSP00000407195
Q16515	ENSP00000225823
Q9UPX0	ENSP00000436552
P01562	ENSP00000276927
Q16515	ENSP00000352934
Q15406	ENSP00000420267
O15533	ENSP00000447823
Q5JSS6	ENSP00000367486
Q15406	ENSP00000362686
P24071	ENSP00000481366
Q9Y2R9	ENSP00000245539
Q00537	ENSP00000261211
O75409	ENSP00000339511
Q15406	ENSP00000413701
Q9UPX0	ENSP00000317980
Q5JSS6	ENSP00000384334
Q15406	ENSP00000341135
Q00537	ENSP00000444459
Q1A5X6	ENSP00000380932
A6NK58	ENSP00000309463
Q8N5K1	ENSP00000273986
Q3MIS6	ENSP00000353652
P52566	ENSP00000228945
Q9HBE4	ENSP00000264497
P52566	ENSP00000444860
Q1A5X6	ENSP00000402153
Q9HBE4	ENSP00000477555
P28069	ENSP00000263781
P56915	ENSP00000238558
Q1A5X6	ENSP00000418141
Q13569	ENSP00000376611
P52566	ENSP00000440560
P0DJD8	ENSP00000322192
Q9BX97	ENSP00000252590
P24071	ENSP00000484868
P28067	ENSP00000404018
Q6IMI4	ENSP00000444081
Q96F44	ENSP00000284551
P28069	ENSP00000342931
Q7Z404	ENSP00000482528
Q8IZL9	ENSP00000338975
O75493	ENSP00000084798
Q7Z7L1	ENSP00000378067
Q96F44	ENSP00000355660
Q96C45	ENSP00000301831
P19338	ENSP00000318195
P36405	ENSP00000260746
Q9Y4Z0	ENSP00000469468
Q9UJT1	ENSP00000342561
Q9Y2I8	ENSP00000350954
P32881	ENSP00000369553
Q15049	ENSP00000379216
Q9Y2I8	ENSP00000263150
Q9UIF8	ENSP00000376533
Q2I0M5	ENSP00000217260
P24071	ENSP00000482807
Q15049	ENSP00000310375
Q9C0F0	ENSP00000269197
Q8IZL9	ENSP00000365043
Q2I0M5	ENSP00000383475
Q9NVM9	ENSP00000261191
P05538	ENSP00000393969
Q9Y490	ENSP00000316029
Q8IZL9	ENSP00000365031
P24071	ENSP00000478233
Q96LZ3	ENSP00000363939
Q9UIF8	ENSP00000376534
Q8IZL9	ENSP00000474485
P28062	ENSP00000414731
Q8NGN3	ENSP00000325076
P24071	ENSP00000483250
P68431	ENSP00000482271
