ENSP00000286355	ENSP00000379496	900
ENSP00000286355	ENSP00000438284	900
ENSP00000286827	ENSP00000240874	900
ENSP00000286827	ENSP00000276297	900
ENSP00000286827	ENSP00000295095	900
ENSP00000286827	ENSP00000338967	900
ENSP00000286827	ENSP00000349588	800
ENSP00000286827	ENSP00000363921	800
ENSP00000286827	ENSP00000381097	900
ENSP00000288490	ENSP00000338185	900
ENSP00000292896	ENSP00000338082	900
ENSP00000295095	ENSP00000240874	900
ENSP00000295095	ENSP00000286827	900
ENSP00000295454	ENSP00000299267	900
ENSP00000295454	ENSP00000314048	540
ENSP00000295454	ENSP00000331912	900
ENSP00000295454	ENSP00000402861	800
ENSP00000295454	ENSP00000417901	800
ENSP00000299267	ENSP00000295454	900
ENSP00000299267	ENSP00000314048	540
ENSP00000299267	ENSP00000331912	900
ENSP00000299267	ENSP00000402861	800
ENSP00000299267	ENSP00000417901	800
ENSP00000300305	ENSP00000264674	800
ENSP00000303153	ENSP00000359114	900
ENSP00000303153	ENSP00000359603	900
ENSP00000303153	ENSP00000382083	900
ENSP00000305355	ENSP00000248572	900
ENSP00000305355	ENSP00000286355	800
ENSP00000305355	ENSP00000333568	800
ENSP00000305355	ENSP00000338185	800
ENSP00000305355	ENSP00000342235	900
ENSP00000305355	ENSP00000342952	800
ENSP00000305355	ENSP00000350359	800
ENSP00000305355	ENSP00000353362	800
ENSP00000305355	ENSP00000357668	900
ENSP00000305355	ENSP00000361214	900
ENSP00000305355	ENSP00000370744	800
ENSP00000305824	ENSP00000271751	900
ENSP00000305824	ENSP00000321427	900
ENSP00000305824	ENSP00000328813	900
ENSP00000305824	ENSP00000331727	900
ENSP00000305824	ENSP00000333496	900
ENSP00000305824	ENSP00000345055	900
ENSP00000305824	ENSP00000373648	900
ENSP00000305824	ENSP00000419952	900
ENSP00000305824	ENSP00000430846	900
ENSP00000305941	ENSP00000384582	360
ENSP00000306138	ENSP00000240874	900
ENSP00000306138	ENSP00000255380	900
ENSP00000306138	ENSP00000282753	900
ENSP00000306138	ENSP00000338185	900
ENSP00000306138	ENSP00000344173	900
ENSP00000306138	ENSP00000350348	900
ENSP00000311273	ENSP00000262442	540
ENSP00000311273	ENSP00000265104	360
ENSP00000311273	ENSP00000330671	360
ENSP00000311273	ENSP00000333363	900
ENSP00000311273	ENSP00000381167	540
ENSP00000311273	ENSP00000383737	540
ENSP00000311837	ENSP00000338343	720
ENSP00000311837	ENSP00000354923	720
ENSP00000311837	ENSP00000356515	360
ENSP00000311837	ENSP00000371512	720
ENSP00000311837	ENSP00000429276	720
ENSP00000312185	ENSP00000256935	900
ENSP00000312185	ENSP00000280333	900
ENSP00000312185	ENSP00000389140	900
ENSP00000314048	ENSP00000295454	540
ENSP00000314048	ENSP00000299267	540
ENSP00000314048	ENSP00000331912	540
ENSP00000315465	ENSP00000383303	900
ENSP00000320025	ENSP00000266376	900
ENSP00000320025	ENSP00000336591	800
ENSP00000320025	ENSP00000345502	360
ENSP00000320025	ENSP00000349320	720
ENSP00000320025	ENSP00000353362	360
ENSP00000320025	ENSP00000356545	720
ENSP00000321427	ENSP00000271751	900
ENSP00000321427	ENSP00000305824	900
ENSP00000321427	ENSP00000328813	900
ENSP00000321427	ENSP00000331727	900
ENSP00000321427	ENSP00000333496	900
ENSP00000321427	ENSP00000345055	900
ENSP00000321427	ENSP00000373648	900
ENSP00000321427	ENSP00000419952	900
ENSP00000321427	ENSP00000430846	900
ENSP00000323194	ENSP00000265362	900
ENSP00000328813	ENSP00000271751	900
ENSP00000328813	ENSP00000305824	900
ENSP00000328813	ENSP00000321427	900
ENSP00000328813	ENSP00000331727	900
ENSP00000328813	ENSP00000333496	900
ENSP00000328813	ENSP00000345055	900
ENSP00000328813	ENSP00000373648	900
