# Gene_A	Gene_B	Weight
ENSG00000048052	ENSG00000092345	3E-2
ENSG00000055609	ENSG00000092421	1.6E-2
ENSG00000040731	ENSG00000094755	2.2E-2
ENSG00000091831	ENSG00000262993	1.3E-2
ENSG00000086289	ENSG00000269382	4.4E-3
ENSG00000047648	ENSG00000095303	8E-3
ENSG00000071909	ENSG00000095303	5.8E-3
ENSG00000048471	ENSG00000262509	5.7E-3
ENSG00000041515	ENSG00000095627	1.4E-2
ENSG00000072657	ENSG00000095627	4E-3
ENSG00000079841	ENSG00000095627	1.4E-2
ENSG00000072657	ENSG00000095777	8.3E-3
ENSG00000039139	ENSG00000095917	3.8E-3
ENSG00000082293	ENSG00000095917	3.2E-3
ENSG00000040731	ENSG00000097096	6.1E-3
ENSG00000060718	ENSG00000097096	1E-2
ENSG00000085276	ENSG00000097096	7.7E-3
ENSG00000039139	ENSG00000099203	7.8E-3
ENSG00000075884	ENSG00000099204	3E-3
ENSG00000071909	ENSG00000099256	9.3E-3
ENSG00000021645	ENSG00000099282	2E-2
ENSG00000083067	ENSG00000099399	1.2E-2
ENSG00000072657	ENSG00000099715	8.9E-3
ENSG00000091831	ENSG00000099769	9.7E-3
ENSG00000047617	ENSG00000099785	8.7E-3
ENSG00000047648	ENSG00000099785	1.1E-2
ENSG00000047617	ENSG00000100078	1.1E-2
ENSG00000075884	ENSG00000100154	1.4E-2
ENSG00000082293	ENSG00000100162	1.5E-2
ENSG00000042781	ENSG00000100167	1.2E-2
ENSG00000072657	ENSG00000100170	8.8E-3
ENSG00000081803	ENSG00000100191	8.5E-3
ENSG00000072657	ENSG00000100206	8.4E-3
ENSG00000041515	ENSG00000262024	3.1E-2
ENSG00000039139	ENSG00000100249	4.2E-3
ENSG00000038945	ENSG00000100342	1.1E-2
ENSG00000071909	ENSG00000100351	6.1E-3
ENSG00000048471	ENSG00000100354	6.1E-3
ENSG00000055609	ENSG00000100354	5.1E-3
ENSG00000069667	ENSG00000100354	6.8E-3
ENSG00000066032	ENSG00000100368	9.5E-3
ENSG00000075884	ENSG00000100575	7.2E-3
ENSG00000075884	ENSG00000100592	1.7E-2
ENSG00000058091	ENSG00000100721	8.3E-3
ENSG00000069667	ENSG00000100731	2.4E-2
ENSG00000086289	ENSG00000100744	6E-3
ENSG00000075884	ENSG00000100749	1.4E-2
ENSG00000055609	ENSG00000100888	2.8E-3
ENSG00000047617	ENSG00000101074	2E-2
ENSG00000047648	ENSG00000101162	9E-3
ENSG00000039139	ENSG00000101197	1.1E-2
ENSG00000091831	ENSG00000101200	4.3E-3
ENSG00000069020	ENSG00000101298	2.3E-2
ENSG00000072657	ENSG00000101331	8.7E-3
ENSG00000071909	ENSG00000101335	7.7E-3
ENSG00000071909	ENSG00000101412	1.9E-2
ENSG00000067715	ENSG00000101447	1.7E-2
ENSG00000072657	ENSG00000101447	4E-3
ENSG00000055609	ENSG00000101596	1.2E-2
ENSG00000060709	ENSG00000101670	1.8E-2
ENSG00000072657	ENSG00000101825	3.3E-3
ENSG00000080224	ENSG00000101825	8.6E-3
ENSG00000055609	ENSG00000101850	5.4E-3
ENSG00000069667	ENSG00000101850	6.9E-3
ENSG00000047648	ENSG00000101856	7.4E-3
ENSG00000071909	ENSG00000101856	5.3E-3
ENSG00000075213	ENSG00000101868	1.8E-2
ENSG00000042781	ENSG00000101890	1.4E-2
ENSG00000086289	ENSG00000101911	1E-2
ENSG00000069667	ENSG00000101935	2.3E-2
ENSG00000075884	ENSG00000101972	9.4E-3
ENSG00000042781	ENSG00000101981	1.3E-2
ENSG00000072657	ENSG00000101981	5.1E-3
ENSG00000079841	ENSG00000101981	1.6E-2
ENSG00000083067	ENSG00000101981	1E-2
ENSG00000095777	ENSG00000101981	1.8E-2
ENSG00000041515	ENSG00000267900	1.9E-2
ENSG00000047617	ENSG00000267900	1.4E-2
ENSG00000072657	ENSG00000267900	5.3E-3
ENSG00000100154	ENSG00000102069	1.9E-2
ENSG00000100154	ENSG00000102098	1.1E-2
ENSG00000048052	ENSG00000271363	1.9E-2
ENSG00000072657	ENSG00000102239	9.7E-3
ENSG00000081803	ENSG00000102384	1.2E-2
ENSG00000048052	ENSG00000102445	8E-3
ENSG00000048471	ENSG00000102445	7.1E-3
ENSG00000058091	ENSG00000102445	8.8E-3
ENSG00000086289	ENSG00000102547	2.1E-2
ENSG00000055609	ENSG00000102606	1.8E-2
ENSG00000048052	ENSG00000102683	2.4E-2
ENSG00000009694	ENSG00000102760	1.2E-2
ENSG00000007174	ENSG00000102878	9.3E-3
ENSG00000055609	ENSG00000102908	5.8E-3
ENSG00000069667	ENSG00000102908	6.9E-3
ENSG00000002746	ENSG00000102924	1.2E-2
ENSG00000080224	ENSG00000102924	1.1E-2
ENSG00000095777	ENSG00000102924	1.3E-2
ENSG00000072657	ENSG00000102935	5.3E-3
ENSG00000047617	ENSG00000103066	1E-2
ENSG00000038945	ENSG00000103121	2.1E-2
ENSG00000091656	ENSG00000103175	2.1E-2
ENSG00000101333	ENSG00000103184	9.1E-3
ENSG00000072657	ENSG00000103241	5.5E-3
ENSG00000072657	ENSG00000103460	9.9E-3
ENSG00000013297	ENSG00000103647	6.3E-3
ENSG00000048052	ENSG00000103647	8.8E-3
ENSG00000058091	ENSG00000103647	9.8E-3
ENSG00000071909	ENSG00000103740	2E-2
ENSG00000042781	ENSG00000103742	2.2E-2
ENSG00000071909	ENSG00000103942	2.2E-2
ENSG00000072657	ENSG00000104112	5.6E-3
ENSG00000104044	ENSG00000104112	1.6E-2
ENSG00000007174	ENSG00000104140	1E-2
ENSG00000091831	ENSG00000104140	1.3E-2
ENSG00000100154	ENSG00000104231	8.7E-3
ENSG00000075213	ENSG00000104368	2.7E-2
ENSG00000048052	ENSG00000104371	2E-2
ENSG00000075884	ENSG00000104408	4.7E-3
ENSG00000048471	ENSG00000104432	8.5E-3
ENSG00000104059	ENSG00000104537	2.4E-2
ENSG00000069020	ENSG00000104660	1.2E-2
ENSG00000102935	ENSG00000104723	2.2E-2
ENSG00000075213	ENSG00000104755	3.3E-2
ENSG00000102290	ENSG00000104755	2.2E-2
ENSG00000021645	ENSG00000104760	1E-2
ENSG00000040731	ENSG00000104833	3.1E-2
ENSG00000072657	ENSG00000104833	8.5E-3
ENSG00000047617	ENSG00000104870	5.8E-3
ENSG00000058091	ENSG00000104894	1.3E-2
ENSG00000104059	ENSG00000104901	2.5E-3
ENSG00000038945	ENSG00000104951	1.5E-2
ENSG00000104375	ENSG00000271188	1.3E-2
ENSG00000075884	ENSG00000105176	1.8E-2
ENSG00000066032	ENSG00000105205	1.6E-2
ENSG00000007174	ENSG00000105219	1.1E-2
ENSG00000039139	ENSG00000105219	1E-2
ENSG00000058091	ENSG00000272985	1.1E-2
ENSG00000104447	ENSG00000105383	5.9E-3
ENSG00000091831	ENSG00000105428	5.3E-3
ENSG00000104059	ENSG00000105499	2.8E-2
ENSG00000039139	ENSG00000105550	9.4E-3
ENSG00000104059	ENSG00000105613	1.9E-3
ENSG00000102290	ENSG00000105641	1.1E-2
ENSG00000039139	ENSG00000105642	9.3E-3
ENSG00000047617	ENSG00000105642	7.6E-3
ENSG00000104059	ENSG00000105642	8.1E-3
ENSG00000007174	ENSG00000105697	8.8E-3
ENSG00000091831	ENSG00000105697	1.1E-2
ENSG00000055609	ENSG00000105778	1.4E-2
ENSG00000075884	ENSG00000105784	1.5E-2
ENSG00000075884	ENSG00000105810	1.4E-2
ENSG00000072657	ENSG00000105825	8.8E-3
ENSG00000005108	ENSG00000105855	3.1E-2
ENSG00000047648	ENSG00000105954	2.4E-2
ENSG00000082293	ENSG00000105954	2.1E-2
ENSG00000002746	ENSG00000105989	1.1E-2
ENSG00000041515	ENSG00000105989	1.2E-2
ENSG00000066032	ENSG00000105989	7.9E-3
ENSG00000021645	ENSG00000106004	2.3E-2
ENSG00000072657	ENSG00000106013	5.8E-3
ENSG00000081803	ENSG00000106078	1.3E-2
ENSG00000055609	ENSG00000106258	9.1E-3
ENSG00000105778	ENSG00000106258	1.1E-2
ENSG00000072657	ENSG00000106278	6.1E-3
ENSG00000075884	ENSG00000106392	1.2E-2
ENSG00000009694	ENSG00000106443	3.2E-2
ENSG00000082293	ENSG00000106536	8.9E-3
ENSG00000048052	ENSG00000106537	6.3E-3
ENSG00000058091	ENSG00000106537	1E-2
ENSG00000104447	ENSG00000106546	1.4E-2
ENSG00000038945	ENSG00000106605	8.1E-3
ENSG00000104375	ENSG00000106605	1.2E-2
ENSG00000106536	ENSG00000106633	9.8E-3
ENSG00000081803	ENSG00000106648	1E-2
ENSG00000072657	ENSG00000106714	8E-3
ENSG00000104375	ENSG00000106780	8.1E-3
ENSG00000104447	ENSG00000106780	7.7E-3
ENSG00000069667	ENSG00000106819	1.8E-2
ENSG00000075884	ENSG00000106819	1.1E-2
ENSG00000106536	ENSG00000106852	1.1E-2
ENSG00000106536	ENSG00000106927	1.2E-2
ENSG00000002746	ENSG00000107105	4.3E-3
ENSG00000067798	ENSG00000107105	5.4E-3
ENSG00000072657	ENSG00000107105	1.7E-3
ENSG00000078295	ENSG00000107105	5.6E-3
ENSG00000079841	ENSG00000107105	4.7E-3
ENSG00000085276	ENSG00000107105	4.5E-3
ENSG00000079841	ENSG00000107165	1.5E-2
ENSG00000048052	ENSG00000107242	1.8E-2
ENSG00000058091	ENSG00000107438	1.7E-2
ENSG00000075884	ENSG00000107614	1.5E-2
ENSG00000075884	ENSG00000107771	1.6E-2
ENSG00000055609	ENSG00000107796	1.3E-2
ENSG00000069020	ENSG00000107831	5.2E-3
ENSG00000104059	ENSG00000107831	4.2E-3
ENSG00000002746	ENSG00000107984	7.1E-3
ENSG00000021645	ENSG00000107984	5.6E-3
ENSG00000040731	ENSG00000107984	5.6E-3
ENSG00000060709	ENSG00000107984	8.4E-3
ENSG00000067798	ENSG00000107984	8.1E-3
ENSG00000075884	ENSG00000108055	1.2E-2
ENSG00000081803	ENSG00000108381	1.3E-2
ENSG00000086289	ENSG00000108439	2.1E-2
ENSG00000055609	ENSG00000108510	1.7E-2
ENSG00000072657	ENSG00000108511	9E-3
ENSG00000038945	ENSG00000108691	1.1E-2
ENSG00000038945	ENSG00000108700	1E-2
ENSG00000038945	ENSG00000260178	1.3E-2
ENSG00000104059	ENSG00000108823	8.8E-3
ENSG00000047648	ENSG00000108839	7.8E-3
ENSG00000104447	ENSG00000262275	1.4E-2
ENSG00000104447	ENSG00000108984	2.8E-2
ENSG00000069020	ENSG00000109107	6.5E-3
ENSG00000072657	ENSG00000109132	4E-3
ENSG00000081803	ENSG00000109163	1.7E-2
ENSG00000047648	ENSG00000109272	2.1E-2
ENSG00000102935	ENSG00000109458	1.6E-2
ENSG00000072657	ENSG00000109511	5.7E-3
ENSG00000060709	ENSG00000109674	9.9E-3
ENSG00000104375	ENSG00000109743	7.9E-3
ENSG00000104447	ENSG00000109743	6.1E-3
ENSG00000106536	ENSG00000109758	1.9E-3
ENSG00000072657	ENSG00000109819	7.6E-3
ENSG00000058091	ENSG00000110042	1.4E-2
ENSG00000039139	ENSG00000110218	1.2E-2
ENSG00000107736	ENSG00000110244	5E-3
ENSG00000072657	ENSG00000110436	8E-3
ENSG00000039139	ENSG00000110492	9.5E-3
ENSG00000058091	ENSG00000110660	1.6E-2
ENSG00000072657	ENSG00000110675	9.9E-3
ENSG00000086289	ENSG00000110958	5.4E-3
ENSG00000058091	ENSG00000110987	9.1E-3
ENSG00000069020	ENSG00000111057	1.4E-2
ENSG00000075884	ENSG00000111142	1.4E-2
ENSG00000038945	ENSG00000111181	2.2E-2
ENSG00000099139	ENSG00000263247	1.6E-2
ENSG00000007174	ENSG00000111241	1.7E-2
ENSG00000106536	ENSG00000111245	1E-2
ENSG00000038945	ENSG00000111331	1.3E-2
ENSG00000075884	ENSG00000111371	1.6E-2
ENSG00000005108	ENSG00000111432	7.9E-3
ENSG00000085276	ENSG00000111432	6.9E-3
ENSG00000102290	ENSG00000111432	4.7E-3
ENSG00000102452	ENSG00000111432	9.2E-3
ENSG00000102935	ENSG00000111432	5E-3
ENSG00000108684	ENSG00000111432	4E-3
ENSG00000072657	ENSG00000111700	4.5E-3
ENSG00000082293	ENSG00000111701	2.2E-2
ENSG00000106536	ENSG00000111701	1E-2
ENSG00000055609	ENSG00000111704	7.1E-3
ENSG00000075884	ENSG00000111716	3.9E-3
ENSG00000109452	ENSG00000111716	5.7E-3
ENSG00000104447	ENSG00000111729	6.2E-3
