# Gene_A	Gene_B	Weight
ENSG00000079841	ENSG00000082175	5.5E-3
ENSG00000040731	ENSG00000082196	1.1E-2
ENSG00000018236	ENSG00000083067	1.2E-2
ENSG00000040731	ENSG00000083307	4.5E-3
ENSG00000041515	ENSG00000083307	2.8E-3
ENSG00000005108	ENSG00000083454	2.1E-2
ENSG00000048052	ENSG00000083720	1E-2
ENSG00000081803	ENSG00000083782	8.9E-3
ENSG00000058091	ENSG00000083844	1.7E-2
ENSG00000067715	ENSG00000083857	9.5E-3
ENSG00000041515	ENSG00000084710	8.4E-3
ENSG00000058091	ENSG00000084731	2.6E-2
ENSG00000075884	ENSG00000084754	1.7E-2
ENSG00000002746	ENSG00000085465	1.2E-2
ENSG00000081803	ENSG00000085733	1E-2
ENSG00000041515	ENSG00000085741	5.3E-3
ENSG00000082293	ENSG00000268980	2.2E-2
ENSG00000067798	ENSG00000086991	7.4E-3
ENSG00000072657	ENSG00000086991	5.8E-3
ENSG00000078295	ENSG00000086991	8.6E-3
ENSG00000041515	ENSG00000087258	8.8E-3
ENSG00000067715	ENSG00000087303	7.6E-3
ENSG00000041515	ENSG00000087589	6.8E-3
ENSG00000041515	ENSG00000087903	6E-3
ENSG00000066032	ENSG00000088002	1.7E-2
ENSG00000078328	ENSG00000088002	1.9E-2
ENSG00000069667	ENSG00000088179	2.3E-2
ENSG00000018236	ENSG00000260587	7E-3
ENSG00000018236	ENSG00000088899	6.1E-3
ENSG00000009694	ENSG00000089012	1.1E-2
ENSG00000075884	ENSG00000089063	1.2E-2
ENSG00000041515	ENSG00000089091	7.6E-3
ENSG00000013297	ENSG00000089116	1.3E-2
ENSG00000040731	ENSG00000089123	8.7E-3
ENSG00000005108	ENSG00000089177	1.2E-2
ENSG00000041515	ENSG00000089472	8.3E-3
ENSG00000066032	ENSG00000089558	1.4E-2
ENSG00000041515	ENSG00000089692	5.7E-3
ENSG00000069667	ENSG00000089775	1.5E-2
ENSG00000041515	ENSG00000089876	6.1E-3
ENSG00000046889	ENSG00000090447	7.2E-3
ENSG00000078328	ENSG00000090447	1.3E-2
ENSG00000060709	ENSG00000090661	1.3E-2
ENSG00000041515	ENSG00000090674	5.4E-3
ENSG00000069020	ENSG00000090920	1.3E-2
ENSG00000046889	ENSG00000090932	1.1E-2
ENSG00000081803	ENSG00000091482	7.8E-3
ENSG00000002746	ENSG00000091656	1.1E-2
ENSG00000047617	ENSG00000091656	1E-2
ENSG00000075213	ENSG00000264509	4.8E-3
ENSG00000042781	ENSG00000091844	1.1E-2
ENSG00000079841	ENSG00000092009	7E-3
ENSG00000018236	ENSG00000092068	1.4E-2
ENSG00000078295	ENSG00000092200	2E-2
ENSG00000091831	ENSG00000092295	2.3E-2
ENSG00000044524	ENSG00000092345	1.8E-2
ENSG00000047648	ENSG00000092345	1.8E-2
ENSG00000048052	ENSG00000092345	1.4E-2
ENSG00000038945	ENSG00000092421	2.4E-2
ENSG00000009694	ENSG00000092758	1.5E-2
ENSG00000058091	ENSG00000092964	9.3E-3
ENSG00000040731	ENSG00000094755	5E-3
ENSG00000048471	ENSG00000094755	8.1E-3
ENSG00000060718	ENSG00000094963	1.3E-2
ENSG00000048052	ENSG00000095015	9.8E-3
ENSG00000046889	ENSG00000095203	1.5E-2
ENSG00000082293	ENSG00000095321	2.9E-2
ENSG00000079841	ENSG00000095397	1.5E-2
ENSG00000041515	ENSG00000095539	8.2E-3
ENSG00000018236	ENSG00000095596	6.6E-3
ENSG00000091831	ENSG00000095917	8.9E-3
ENSG00000013297	ENSG00000095970	1.1E-2
ENSG00000060718	ENSG00000099250	1.4E-2
ENSG00000095777	ENSG00000099250	2E-2
ENSG00000091656	ENSG00000099260	9.3E-3
ENSG00000091656	ENSG00000099338	6.4E-3
ENSG00000081803	ENSG00000099399	1E-2
ENSG00000002746	ENSG00000099812	8.5E-3
ENSG00000047617	ENSG00000099812	6.5E-3
ENSG00000091656	ENSG00000099812	3.5E-3
ENSG00000083067	ENSG00000099814	8.7E-3
ENSG00000091831	ENSG00000099814	9.8E-3
ENSG00000040731	ENSG00000099866	4.8E-3
ENSG00000041515	ENSG00000099866	3.1E-3
ENSG00000079841	ENSG00000099866	5E-3
ENSG00000013297	ENSG00000099889	6.7E-3
ENSG00000007174	ENSG00000100003	8.1E-3
ENSG00000082293	ENSG00000100003	6.1E-3
ENSG00000013297	ENSG00000100023	1.7E-2
ENSG00000079841	ENSG00000100053	1E-2
ENSG00000041515	ENSG00000100078	4.4E-3
ENSG00000044524	ENSG00000100116	1.8E-2
ENSG00000047648	ENSG00000100116	1.9E-2
ENSG00000082293	ENSG00000100121	1.8E-2
ENSG00000069667	ENSG00000100191	6.8E-3
ENSG00000091656	ENSG00000100191	3.9E-3
ENSG00000040731	ENSG00000100211	1E-2
ENSG00000040731	ENSG00000100271	1.1E-2
ENSG00000041515	ENSG00000100285	7.6E-3
ENSG00000038945	ENSG00000100312	1.1E-2
ENSG00000044524	ENSG00000100320	2.1E-2
ENSG00000047648	ENSG00000100320	1.9E-2
ENSG00000048052	ENSG00000100320	1.5E-2
ENSG00000075213	ENSG00000100320	1.6E-2
ENSG00000007174	ENSG00000100379	5.5E-3
ENSG00000082293	ENSG00000100379	3.8E-3
ENSG00000069667	ENSG00000100385	1.6E-2
ENSG00000005108	ENSG00000100427	1.6E-2
ENSG00000005108	ENSG00000100439	2.4E-2
ENSG00000044524	ENSG00000100473	1.5E-2
ENSG00000047648	ENSG00000100473	1.2E-2
ENSG00000048052	ENSG00000100473	1.2E-2
ENSG00000041515	ENSG00000100490	8.1E-3
ENSG00000009694	ENSG00000100505	1.8E-2
ENSG00000072657	ENSG00000100505	1.7E-2
ENSG00000099139	ENSG00000100505	1.8E-2
ENSG00000040731	ENSG00000100558	8.5E-3
ENSG00000041515	ENSG00000100604	5.9E-3
ENSG00000041515	ENSG00000100605	6.5E-3
ENSG00000046889	ENSG00000100652	5.5E-3
ENSG00000066032	ENSG00000100665	1.3E-2
ENSG00000078328	ENSG00000100665	1.3E-2
ENSG00000091656	ENSG00000100665	5.5E-3
ENSG00000069020	ENSG00000100979	1.7E-2
ENSG00000048471	ENSG00000101134	6.5E-3
ENSG00000081803	ENSG00000101134	3.2E-3
ENSG00000041515	ENSG00000101188	7E-3
ENSG00000058091	ENSG00000101190	5.3E-3
ENSG00000060709	ENSG00000101190	6.2E-3
ENSG00000060709	ENSG00000101197	1.6E-2
ENSG00000091656	ENSG00000101280	7.3E-3
ENSG00000066032	ENSG00000101298	2.2E-2
ENSG00000083067	ENSG00000101323	2.3E-2
ENSG00000040731	ENSG00000101349	1.3E-2
ENSG00000091656	ENSG00000101349	1.1E-2
ENSG00000042781	ENSG00000101417	1.2E-2
ENSG00000047617	ENSG00000101417	1.1E-2
ENSG00000042781	ENSG00000101446	7E-3
ENSG00000021645	ENSG00000101463	2.4E-2
ENSG00000041515	ENSG00000101605	7.6E-3
ENSG00000079841	ENSG00000101605	1.4E-2
ENSG00000095777	ENSG00000101670	1.2E-2
ENSG00000038945	ENSG00000101746	1.9E-2
ENSG00000081803	ENSG00000101850	7E-3
