# Gene_A	Gene_B	Weight
ENSG00000075884	ENSG00000122042	1.2E-2
ENSG00000060709	ENSG00000122180	1.2E-2
ENSG00000099139	ENSG00000122707	1.5E-2
ENSG00000120594	ENSG00000123329	7.9E-3
ENSG00000112530	ENSG00000123427	7.5E-3
ENSG00000060709	ENSG00000123607	1.9E-2
ENSG00000075884	ENSG00000124126	4.7E-3
ENSG00000120594	ENSG00000124126	6.1E-3
ENSG00000069667	ENSG00000124203	1.1E-2
ENSG00000112530	ENSG00000124217	7.7E-3
ENSG00000114861	ENSG00000124228	5.3E-3
ENSG00000122507	ENSG00000124279	2.3E-2
ENSG00000048471	ENSG00000124333	7.8E-3
ENSG00000114861	ENSG00000124507	1E-2
ENSG00000099139	ENSG00000124782	7.9E-3
ENSG00000114861	ENSG00000124782	5.8E-3
ENSG00000069020	ENSG00000125449	2E-2
ENSG00000060709	ENSG00000125522	1.3E-2
ENSG00000075884	ENSG00000125538	1.3E-2
ENSG00000069020	ENSG00000125755	2.1E-2
ENSG00000112530	ENSG00000125787	8.9E-3
ENSG00000112530	ENSG00000125798	7.6E-3
ENSG00000075884	ENSG00000125827	1.8E-2
ENSG00000075884	ENSG00000125844	1E-2
ENSG00000099139	ENSG00000126070	1.4E-2
ENSG00000099139	ENSG00000126353	8.4E-3
ENSG00000109452	ENSG00000126353	9.8E-3
ENSG00000075884	ENSG00000126653	1.5E-2
ENSG00000114861	ENSG00000126777	4.5E-3
ENSG00000075884	ENSG00000126860	6.2E-3
ENSG00000013297	ENSG00000126883	1.2E-2
ENSG00000109452	ENSG00000127152	1.1E-2
ENSG00000114861	ENSG00000127152	6.6E-3
ENSG00000075884	ENSG00000127314	3E-3
ENSG00000114861	ENSG00000127314	2.7E-3
ENSG00000099139	ENSG00000127334	1.9E-2
ENSG00000013297	ENSG00000127472	1.9E-2
ENSG00000112530	ENSG00000127472	5.7E-3
ENSG00000114861	ENSG00000127483	1.3E-2
ENSG00000069020	ENSG00000128266	1.6E-2
ENSG00000122507	ENSG00000128654	1.8E-2
ENSG00000013297	ENSG00000128683	2E-2
ENSG00000112530	ENSG00000128683	6.9E-3
ENSG00000114861	ENSG00000128908	1.1E-2
ENSG00000075884	ENSG00000128923	1.3E-2
ENSG00000112530	ENSG00000129354	7.6E-3
ENSG00000075884	ENSG00000129515	3.8E-3
ENSG00000128815	ENSG00000129667	1E-2
ENSG00000127603	ENSG00000129933	1.6E-2
ENSG00000060709	ENSG00000129990	1.3E-2
ENSG00000128815	ENSG00000129993	9.8E-3
ENSG00000122507	ENSG00000130021	2.3E-2
ENSG00000112530	ENSG00000130311	9.3E-3
ENSG00000013297	ENSG00000130528	1.3E-2
ENSG00000112530	ENSG00000130528	4.5E-3
ENSG00000112530	ENSG00000130653	5.9E-3
ENSG00000127124	ENSG00000130653	1.4E-2
ENSG00000127124	ENSG00000130669	1.6E-2
ENSG00000069020	ENSG00000130723	1.2E-2
ENSG00000069020	ENSG00000130758	2.5E-2
ENSG00000112530	ENSG00000130762	3.6E-3
ENSG00000122507	ENSG00000130816	2.4E-2
ENSG00000112530	ENSG00000268431	7.6E-3
ENSG00000128815	ENSG00000271481	6.8E-3
ENSG00000114861	ENSG00000131051	5.6E-3
ENSG00000128815	ENSG00000131238	1.4E-2
ENSG00000128815	ENSG00000131504	1.4E-2
ENSG00000120594	ENSG00000131626	1.8E-2
ENSG00000075884	ENSG00000131873	5.2E-3
ENSG00000128815	ENSG00000132205	5.8E-3
ENSG00000127603	ENSG00000132274	1.2E-2
ENSG00000131018	ENSG00000132274	1.2E-2
ENSG00000114861	ENSG00000132463	5.4E-3
ENSG00000122507	ENSG00000132467	8.4E-3
ENSG00000069667	ENSG00000132485	7.3E-3
ENSG00000122507	ENSG00000132842	1.4E-2
ENSG00000122507	ENSG00000133195	1.7E-2
ENSG00000131558	ENSG00000133393	9.8E-3
ENSG00000069667	ENSG00000133657	1E-2
ENSG00000055609	ENSG00000133703	1.4E-2
ENSG00000075884	ENSG00000133703	9.3E-3
ENSG00000109452	ENSG00000133808	1E-2
ENSG00000114861	ENSG00000133808	7E-3
ENSG00000122507	ENSG00000133835	1.9E-2
ENSG00000075884	ENSG00000134152	1E-2
ENSG00000075884	ENSG00000134215	3.9E-3
ENSG00000099139	ENSG00000134250	4.5E-3
ENSG00000132549	ENSG00000134313	2.6E-2
ENSG00000127603	ENSG00000134352	1.3E-2
ENSG00000113448	ENSG00000134575	1.7E-2
ENSG00000075884	ENSG00000134602	3.3E-3
ENSG00000055609	ENSG00000134744	8.6E-3
ENSG00000069667	ENSG00000134744	1E-2
ENSG00000112530	ENSG00000134830	7.4E-3
ENSG00000127603	ENSG00000134884	1.2E-2
ENSG00000114861	ENSG00000134899	4.5E-3
ENSG00000131018	ENSG00000134899	5.1E-3
ENSG00000069667	ENSG00000135040	1.2E-2
ENSG00000109452	ENSG00000135040	8.4E-3
ENSG00000075884	ENSG00000135049	8.5E-3
ENSG00000075884	ENSG00000135090	1.6E-2
ENSG00000055609	ENSG00000135164	1.2E-2
ENSG00000069667	ENSG00000135249	1.4E-2
ENSG00000075884	ENSG00000135250	1.1E-2
ENSG00000112530	ENSG00000135436	7.4E-3
ENSG00000112530	ENSG00000135454	4E-3
ENSG00000113448	ENSG00000135519	1.2E-2
ENSG00000114861	ENSG00000135597	7.3E-3
ENSG00000114861	ENSG00000135829	1.3E-2
ENSG00000075884	ENSG00000135837	4.5E-3
ENSG00000131374	ENSG00000135837	5.8E-3
ENSG00000132549	ENSG00000135837	7.6E-3
ENSG00000075884	ENSG00000135870	1.3E-2
ENSG00000120594	ENSG00000136040	1.5E-2
ENSG00000075884	ENSG00000136051	2.7E-3
ENSG00000109452	ENSG00000136068	2.2E-2
ENSG00000131018	ENSG00000136147	1.4E-2
ENSG00000075884	ENSG00000136156	6.2E-3
ENSG00000120594	ENSG00000136161	1.6E-2
ENSG00000075884	ENSG00000136167	3.1E-3
ENSG00000131018	ENSG00000136167	3.2E-3
ENSG00000131374	ENSG00000136167	3.8E-3
ENSG00000131558	ENSG00000136628	1.2E-2
ENSG00000120594	ENSG00000136826	1.9E-2
ENSG00000120594	ENSG00000136869	2.1E-2
ENSG00000114861	ENSG00000136888	9.2E-3
ENSG00000112530	ENSG00000136931	7E-3
ENSG00000128815	ENSG00000136936	1E-2
ENSG00000127603	ENSG00000137073	1.7E-2
ENSG00000112530	ENSG00000237165	3.6E-3
ENSG00000081853	ENSG00000137392	9.1E-3
ENSG00000134516	ENSG00000237508	1.2E-2
ENSG00000120594	ENSG00000137462	7.7E-3
ENSG00000122507	ENSG00000137513	2.8E-2
ENSG00000055609	ENSG00000137574	2.7E-2
ENSG00000075884	ENSG00000137642	3.2E-3
ENSG00000128815	ENSG00000137642	2.8E-3
ENSG00000128815	ENSG00000137752	3.3E-3
ENSG00000131018	ENSG00000137752	3.7E-3
ENSG00000128815	ENSG00000137767	5.4E-3
ENSG00000131018	ENSG00000137776	1.7E-2
ENSG00000122507	ENSG00000137944	2.5E-2
ENSG00000127603	ENSG00000137944	1.7E-2
ENSG00000112530	ENSG00000138031	6.8E-3
ENSG00000120594	ENSG00000138061	1.8E-2
ENSG00000075884	ENSG00000138071	3.7E-3
ENSG00000060709	ENSG00000138080	1.4E-2
ENSG00000075884	ENSG00000138081	3.5E-3
ENSG00000132549	ENSG00000138081	5.7E-3
ENSG00000131374	ENSG00000138246	1.6E-2
