# Gene_A	Gene_B	Weight
ENSG00000091831	ENSG00000148798	6.2E-2
ENSG00000091831	ENSG00000262812	6.2E-2
ENSG00000091831	ENSG00000149782	6.2E-2
ENSG00000091831	ENSG00000149925	6.2E-2
ENSG00000091831	ENSG00000151445	6.2E-2
ENSG00000091831	ENSG00000155660	6.2E-2
ENSG00000091831	ENSG00000156508	6.2E-2
ENSG00000091831	ENSG00000158710	6.2E-2
ENSG00000091831	ENSG00000269087	6.2E-2
ENSG00000091831	ENSG00000160789	6.2E-2
ENSG00000091831	ENSG00000163041	6.2E-2
ENSG00000091831	ENSG00000163399	6.2E-2
ENSG00000091831	ENSG00000163636	6.2E-2
ENSG00000091831	ENSG00000272687	6.2E-2
ENSG00000091831	ENSG00000164535	6.2E-2
ENSG00000091831	ENSG00000164828	6.2E-2
ENSG00000091831	ENSG00000164885	6.2E-2
ENSG00000091831	ENSG00000164924	6.2E-2
ENSG00000091831	ENSG00000165280	6.2E-2
ENSG00000091831	ENSG00000165672	6.2E-2
ENSG00000091831	ENSG00000166341	6.2E-2
ENSG00000091831	ENSG00000166598	6.2E-2
ENSG00000091831	ENSG00000166913	6.2E-2
ENSG00000091831	ENSG00000167004	6.2E-2
ENSG00000091831	ENSG00000167085	6.2E-2
ENSG00000091831	ENSG00000167552	6.2E-2
ENSG00000091831	ENSG00000167553	6.2E-2
ENSG00000091831	ENSG00000167658	6.2E-2
ENSG00000091831	ENSG00000167770	6.2E-2
ENSG00000091831	ENSG00000167815	6.2E-2
ENSG00000091831	ENSG00000167986	6.2E-2
ENSG00000091831	ENSG00000168003	6.2E-2
ENSG00000091831	ENSG00000168491	6.2E-2
ENSG00000091831	ENSG00000169299	6.2E-2
ENSG00000091831	ENSG00000169564	6.2E-2
ENSG00000091831	ENSG00000169710	6.2E-2
ENSG00000091831	ENSG00000170348	6.2E-2
ENSG00000091831	ENSG00000170421	6.2E-2
ENSG00000091831	ENSG00000171345	6.2E-2
ENSG00000091831	ENSG00000171346	6.2E-2
ENSG00000091831	ENSG00000171863	6.2E-2
ENSG00000091831	ENSG00000172757	6.2E-2
ENSG00000091831	ENSG00000172939	6.2E-2
ENSG00000091831	ENSG00000174231	6.2E-2
ENSG00000091831	ENSG00000174437	6.2E-2
ENSG00000091831	ENSG00000174903	6.2E-2
ENSG00000091831	ENSG00000175166	6.2E-2
ENSG00000091831	ENSG00000175220	6.2E-2
ENSG00000091831	ENSG00000175390	6.2E-2
ENSG00000091831	ENSG00000269277	6.2E-2
ENSG00000091831	ENSG00000176658	6.2E-2
ENSG00000091831	ENSG00000177192	6.2E-2
ENSG00000091831	ENSG00000177646	6.2E-2
ENSG00000091831	ENSG00000178950	6.2E-2
ENSG00000091831	ENSG00000179041	6.2E-2
ENSG00000091831	ENSG00000180182	6.2E-2
ENSG00000091831	ENSG00000180596	6.2E-2
ENSG00000091831	ENSG00000181789	6.2E-2
ENSG00000091831	ENSG00000182054	6.2E-2
ENSG00000091831	ENSG00000182199	6.2E-2
ENSG00000091831	ENSG00000183044	6.2E-2
ENSG00000091831	ENSG00000235067	6.2E-2
ENSG00000091831	ENSG00000184357	6.2E-2
ENSG00000091831	ENSG00000184779	6.2E-2
ENSG00000091831	ENSG00000185624	6.2E-2
ENSG00000091831	ENSG00000185651	6.2E-2
ENSG00000091831	ENSG00000186395	6.2E-2
ENSG00000091831	ENSG00000186832	6.2E-2
ENSG00000091831	ENSG00000188229	6.2E-2
